"_id","_labels","def_int","def_int_long","def_int_td","def_int_yds","fumbles_forced","fumbles_rec","fumbles_rec_td","fumbles_rec_yds","game_code","label","pass_defended","player","player_code","qb_hits","sacks","tackles_assists","tackles_combined","tackles_loss","tackles_solo","team","year","_start","_end","_type"
"208037",":stat_player_game_def","0","0","0","0","2","0","0","0","200709300nyg","200709300nyg_19","0","Osi Umenyiora","U/UmenOs99","4","6.0","0","6","4","6","NYG","2007",,,
"208038",":stat_player_game_def","","","","","0","0","0","0","200709160crd","200709160crd_20","0","Josh Wilson","W/WilsJo99","0","0.0","0","1","0","1","SEA","2007",,,
"208039",":stat_player_game_def","0","0","0","0","0","0","0","0","200710210dal","200710210dal_20","0","Sam Hurd","H/HurdSa00","0","0.0","0","2","0","2","DAL","2007",,,
"208040",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160ram","200709160ram_21","1","Ron Bartell","B/BartRo20","1","1.0","2","6","2","4","STL","2007",,,
"208041",":stat_player_game_def","","","","","0","0","0","0","200710140chi","200710140chi_21","0","Lance Briggs","B/BrigLa99","1","0.0","1","7","2","6","CHI","2007",,,
"208042",":stat_player_game_def","","","","","0","0","0","0","200709090nyj","200709090nyj_20","0","Vince Wilfork","W/WilfVi20","0","0.0","0","1","0","1","NWE","2007",,,
"208043",":stat_player_game_def","1","0","0","0","0","0","0","0","200709230was","200709230was_19","1","Sean Taylor","T/TaylSe20","0","0.0","0","4","0","4","WAS","2007",,,
"208044",":stat_player_game_def","","","","","0","0","0","0","200709160tam","200709160tam_20","0","Usama Young","Y/YounUs99","0","0.0","0","1","0","1","NOR","2007",,,
"208045",":stat_player_game_def","","","","","0","1","0","0","200709160rav","200709160rav_20","0","Adrien Clarke","C/ClarAd20","0","0.0","0","0","0","0","NYJ","2007",,,
"208046",":stat_player_game_def","","","","","","0","0","0","200709160crd","200709160crd_21","","Ellis Wyms","W/WymsEl20","0","0.0","0","1","0","1","SEA","2007",,,
"208047",":stat_player_game_def","0","0","0","0","0","0","0","0","200709300nyg","200709300nyg_20","0","Mathias Kiwanuka","K/KiwaMa20","3","3.0","2","7","4","5","NYG","2007",,,
"208048",":stat_player_game_def","0","0","0","0","0","0","0","0","200709160ram","200709160ram_22","0","Dante Hall","H/HallDa00","0","0.0","0","1","0","1","STL","2007",,,
"208049",":stat_player_game_def","","","","","0","0","0","0","200710140chi","200710140chi_22","0","Hunter Hillenmeyer","H/HillHu20","0","0.0","1","7","2","6","CHI","2007",,,
"208050",":stat_player_game_def","","","","","0","0","0","0","200709090dal","200709090dal_19","0","Manuel Wright","W/WrigMa20","0","0.0","1","1","0","0","NYG","2007",,,
"208051",":stat_player_game_def","0","0","0","0","0","0","0","0","200710210dal","200710210dal_21","0","Deon Anderson","A/AndeDe01","0","0.0","0","1","0","1","DAL","2007",,,
"208052",":stat_player_game_def","0","0","0","0","0","0","0","0","200709090nyj","200709090nyj_21","0","Justin Miller","M/MillJu99","0","0.0","1","2","0","1","NYJ","2007",,,
