"_id","_labels","age","av_career","av_team","college","first_tap","games","int","label","pass_att","pass_cmp","pass_int","pass_td","pass_yd","pick","player","pos","pro_bowl","rec","rec_td","rec_yd","round","rush_att","rush_td","rush_yd","sack","solo","starter","tag","team","url_college","url_college_stats","url_player","year","year_max","_start","_end","_type"
"199071",":picks","22","6","6","LSU","0","31","","2007_1","680","354","23","18","4083","1","JaMarcus Russell","QB","0","0","0","0","1","40","1","175","","","2","rai","Oakland Raiders","https://www.pro-football-reference.com/schools/lsu/","http://www.sports-reference.com/cfb/players/jamarcus-russell-1.html","/players/R/RussJa00.htm","2007","2009",,,
"199072",":picks","22","85","85","Wisconsin","6","167","","2007_2","0","0","0","0","0","3","Joe Thomas","T","10","0","0","0","1","0","0","0","","","10","cle","Cleveland Browns","https://www.pro-football-reference.com/schools/wisconsin/","http://www.sports-reference.com/cfb/players/joe-thomas-2.html","/players/T/ThomJo28.htm","2007","2017",,,
"199073",":picks","24","17","17","Clemson","0","47","2","2007_3","0","0","0","0","0","4","Gaines Adams","DE","0","0","0","0","1","0","0","0","13.5","67","1","tam","Tampa Bay Buccaneers","https://www.pro-football-reference.com/schools/clemson/","http://www.sports-reference.com/cfb/players/gaines-adams-1.html","/players/A/AdamGa99.htm","2007","2009",,,
"199074",":picks","23","34","34","Penn St.","0","82","","2007_4","0","0","0","0","0","5","Levi Brown","T","0","1","0","4","1","0","0","0","","","5","crd","Arizona Cardinals","https://www.pro-football-reference.com/schools/pennst/","http://www.sports-reference.com/cfb/players/levi-brown-2.html","/players/B/BrowLe20.htm","2007","2013",,,
"199075",":picks","22","39","26","LSU","0","103","6","2007_5","0","0","0","0","0","6","LaRon Landry","DB","1","0","0","0","1","0","0","0","8.0","467","7","was","Washington Redskins","https://www.pro-football-reference.com/schools/lsu/","http://www.sports-reference.com/cfb/players/laron-landry-1.html","/players/L/LandLa99.htm","2007","2014",,,
"199076",":picks","22","101","89","Oklahoma","4","184","","2007_6","0","0","0","0","0","7","Adrian Peterson","RB","7","305","6","2474","1","3230","120","14918","","","12","min","Minnesota Vikings","https://www.pro-football-reference.com/schools/oklahoma/","http://www.sports-reference.com/cfb/players/adrian-peterson-1.html","/players/P/PeteAd01.htm","2007","2021",,,
"199077",":picks","21","20","19","Arkansas","0","77","","2007_7","0","0","0","0","0","8","Jamaal Anderson","DE","0","0","0","0","1","0","0","0","7.5","96","3","atl","Atlanta Falcons","https://www.pro-football-reference.com/schools/arkansas/","http://www.sports-reference.com/cfb/players/jamaal-anderson-1.html","/players/A/AndeJa98.htm","2007","2012",,,
"199078",":picks","22","52","15","Ohio St.","0","193","","2007_8","1","1","0","0","10","9","Ted Ginn Jr.","WR","0","412","33","5742","1","68","2","486","","6","7","mia","Miami Dolphins","https://www.pro-football-reference.com/schools/ohiost/","http://www.sports-reference.com/cfb/players/ted-ginn-jr-1.html","/players/G/GinnTe00.htm","2007","2020",,,
"199079",":picks","20","24","21","Louisville","0","87","","2007_9","0","0","0","0","0","10","Amobi Okoye","DT","0","0","0","0","1","0","0","0","16.0","118","4","htx","Houston Texans","https://www.pro-football-reference.com/schools/louisville/","http://www.sports-reference.com/cfb/players/amobi-okoye-1.html","/players/O/OkoyAm99.htm","2007","2012",,,
"199080",":picks","22","93","93","Mississippi","5","112","8","2007_10","0","0","0","0","0","11","Patrick Willis","LB","7","0","0","0","1","0","0","0","20.5","733","7","sfo","San Francisco 49ers","https://www.pro-football-reference.com/schools/mississippi/","http://www.sports-reference.com/cfb/players/patrick-willis-1.html","/players/W/WillPa98.htm","2007","2014",,,
