"_id","_labels","fumbles","fumbles_lost","game_code","label","pass_att","pass_cmp","pass_int","pass_long","pass_rating","pass_sacked","pass_sacked_yds","pass_td","pass_yds","player","player_code","rec","rec_long","rec_td","rec_yds","rush_att","rush_long","rush_td","rush_yds","targets","team","year","_start","_end","_type"
"298446",":stat_player_game_off","0","","200012310rav","200012310rav_1","28","13","1","24","44.3","4","34","0","124","Gus Frerotte","F/FrerGu00","0","0","0","0","1","-1","0","-1","0","DEN","2000",,,
"298452",":stat_player_game_off","0","","200012310rav","200012310rav_2","10","5","0","19","66.2","1","9","0","54","Jarious Jackson","J/JackJa01","0","0","0","0","0","0","0","0","0","DEN","2000",,,
"298459",":stat_player_game_off","0","","200012310rav","200012310rav_3","0","0","0","0","","","","0","0","Mike Anderson","A/AndeMi00","2","8","0","10","15","13","0","40","2","DEN","2000",,,
"298463",":stat_player_game_off","0","","200012310rav","200012310rav_4","0","0","0","0","","","","0","0","Rod Smith","S/SmitRo01","3","24","0","58","2","7","0","3","8","DEN","2000",,,
"298467",":stat_player_game_off","0","","200012310rav","200012310rav_5","0","0","0","0","","","","0","0","Ed McCaffrey","M/McCaEd00","8","16","0","75","0","0","0","0","15","DEN","2000",,,
"298472",":stat_player_game_off","0","","200012310rav","200012310rav_6","0","0","0","0","","","","0","0","Howard Griffith","G/GrifHo00","1","16","0","16","0","0","0","0","3","DEN","2000",,,
"298475",":stat_player_game_off","0","","200012310rav","200012310rav_7","0","0","0","0","","","","0","0","Dwayne Carswell","C/CarsDw00","2","6","0","8","0","0","0","0","5","DEN","2000",,,
"298480",":stat_player_game_off","0","","200012310rav","200012310rav_8","0","0","0","0","","","","0","0","Travis McGriff","M/McGrTr00","1","6","0","6","0","0","0","0","1","DEN","2000",,,
"298485",":stat_player_game_off","0","","200012310rav","200012310rav_9","0","0","0","0","","","","0","0","Desmond Clark","C/ClarDe00","1","5","0","5","0","0","0","0","3","DEN","2000",,,
"298487",":stat_player_game_off","0","","200012310rav","200012310rav_10","0","0","0","0","","","","0","0","Byron Chamberlain","C/ChamBy00","0","0","0","0","0","0","0","0","1","DEN","2000",,,
"298496",":stat_player_game_off","1","0","200012310rav","200012310rav_11","14","9","0","58","118.2","2","12","1","130","Trent Dilfer","D/DilfTr00","0","0","0","0","1","2","0","2","0","BAL","2000",,,
"298504",":stat_player_game_off","0","","200012310rav","200012310rav_12","1","0","0","0","39.6","0","0","0","0","Tony Banks","B/BankTo00","0","0","0","0","1","-1","0","-1","0","BAL","2000",,,
"298507",":stat_player_game_off","0","","200012310rav","200012310rav_13","0","0","0","0","","","","0","0","Jamal Lewis","L/LewiJa00","1","15","0","15","30","27","2","110","3","BAL","2000",,,
"298511",":stat_player_game_off","0","","200012310rav","200012310rav_14","0","0","0","0","","","","0","0","Priest Holmes","H/HolmPr00","0","0","0","0","5","4","0","6","0","BAL","2000",,,
"298517",":stat_player_game_off","0","","200012310rav","200012310rav_15","0","0","0","0","","","","0","0","Jermaine Lewis","L/LewiJe00","0","0","0","0","1","5","0","5","1","BAL","2000",,,
"298521",":stat_player_game_off","0","","200012310rav","200012310rav_16","0","0","0","0","","","","0","0","Shannon Sharpe","S/SharSh00","3","58","1","73","0","0","0","0","4","BAL","2000",,,
"298526",":stat_player_game_off","0","","200012310rav","200012310rav_17","0","0","0","0","","","","0","0","Qadry Ismail","I/IsmaQa00","4","15","0","35","0","0","0","0","6","BAL","2000",,,
"298532",":stat_player_game_off","0","","200012310rav","200012310rav_18","0","0","0","0","","","","0","0","Sam Gash","G/GashSa00","1","7","0","7","0","0","0","0","1","BAL","2000",,,
"298945",":stat_player_game_off","0","","200101070oti","200101070oti_1","16","5","0","56","58.6","3","32","0","117","Trent Dilfer","D/DilfTr00","0","0","0","0","4","4","0","1","0","BAL","2000",,,
"298946",":stat_player_game_off","1","0","200101140rai","200101140rai_1","18","9","1","96","83.1","2","18","1","190","Trent Dilfer","D/DilfTr00","0","0","0","0","7","6","0","4","0","BAL","2000",,,
"298950",":stat_player_game_off","1","1","200101140rai","200101140rai_2","0","0","0","0","","","","0","0","Jamal Lewis","L/LewiJa00","3","15","0","21","29","13","0","79","3","BAL","2000",,,
"298951",":stat_player_game_off","0","","200101070oti","200101070oti_2","1","0","0","0","39.6","0","0","0","0","Tony Banks","B/BankTo00","0","0","0","0","0","0","0","0","0","BAL","2000",,,
"298956",":stat_player_game_off","0","","200101140rai","200101140rai_3","0","0","0","0","","","","0","0","Priest Holmes","H/HolmPr00","0","0","0","0","9","11","0","31","0","BAL","2000",,,
"298958",":stat_player_game_off","0","","200101070oti","200101070oti_3","0","0","0","0","","","","0","0","Jamal Lewis","L/LewiJa00","0","0","0","0","17","14","1","47","0","BAL","2000",,,
"298959",":stat_player_game_off","0","","200101140rai","200101140rai_4","0","0","0","0","","","","0","0","Shannon Sharpe","S/SharSh00","1","96","1","96","0","0","0","0","4","BAL","2000",,,
"298963",":stat_player_game_off","0","","200101070oti","200101070oti_4","0","0","0","0","","","","0","0","Jermaine Lewis","L/LewiJe00","0","0","0","0","1","1","0","1","0","BAL","2000",,,
"298965",":stat_player_game_off","0","","200101140rai","200101140rai_5","0","0","0","0","","","","0","0","Brandon Stokley","S/StokBr00","3","14","0","31","0","0","0","0","4","BAL","2000",,,
"298968",":stat_player_game_off","0","","200101070oti","200101070oti_5","0","0","0","0","","","","0","0","Shannon Sharpe","S/SharSh00","1","56","0","56","0","0","0","0","7","BAL","2000",,,
"298970",":stat_player_game_off","0","","200101140rai","200101140rai_6","0","0","0","0","","","","0","0","Ben Coates","C/CoatBe00","1","24","0","24","0","0","0","0","1","BAL","2000",,,
"298974",":stat_player_game_off","0","","200101070oti","200101070oti_6","0","0","0","0","","","","0","0","Qadry Ismail","I/IsmaQa00","3","33","0","53","0","0","0","0","6","BAL","2000",,,
"298975",":stat_player_game_off","0","","200101140rai","200101140rai_7","0","0","0","0","","","","0","0","Qadry Ismail","I/IsmaQa00","1","18","0","18","1","-4","0","-4","3","BAL","2000",,,
"298979",":stat_player_game_off","0","","200101140rai","200101140rai_8","","","","","","","","","","Sam Gash","G/GashSa00","0","","0","0","","","","","1","BAL","2000",,,
"298980",":stat_player_game_off","0","","200101070oti","200101070oti_7","0","0","0","0","","","","0","0","Brandon Stokley","S/StokBr00","1","8","0","8","0","0","0","0","2","BAL","2000",,,
"298983",":stat_player_game_off","0","","200101140rai","200101140rai_9","","","","","","","","","","Patrick Johnson","J/JohnPa00","0","","0","0","","","","","1","BAL","2000",,,
"298985",":stat_player_game_off","0","","200101070oti","200101070oti_8","0","0","0","0","","","","0","0","Sam Gash","G/GashSa00","0","0","0","0","1","0","0","0","1","BAL","2000",,,
"298991",":stat_player_game_off","1","1","200101140rai","200101140rai_10","21","11","2","16","22.0","4","20","0","80","Rich Gannon","G/GannRi00","0","0","0","0","1","2","0","2","0","OAK","2000",,,
"298993",":stat_player_game_off","0","","200101070oti","200101070oti_9","0","0","0","0","","","","0","0","Patrick Johnson","J/JohnPa00","0","0","0","0","0","0","0","0","1","BAL","2000",,,
"298997",":stat_player_game_off","0","","200101140rai","200101140rai_11","16","8","2","31","32.0","","0","0","107","Bobby Hoying","H/HoyiBo00","0","0","0","0","3","5","0","13","0","OAK","2000",,,
"298998",":stat_player_game_off","0","","200101070oti","200101070oti_10","46","24","1","17","52.4","1","4","0","176","Steve McNair","M/McNaSt00","1","-10","0","-10","5","11","0","31","1","TEN","2000",,,
"299004",":stat_player_game_off","0","","200101140rai","200101140rai_12","0","0","0","0","","","","0","0","Tyrone Wheatley","W/WheaTy00","1","4","0","4","12","4","0","7","1","OAK","2000",,,
"299005",":stat_player_game_off","0","","200101070oti","200101070oti_11","1","1","0","19","118.7","0","0","0","19","Neil O'Donnell","O/ODonNe00","0","0","0","0","0","0","0","0","0","TEN","2000",,,
"299009",":stat_player_game_off","0","","200101070oti","200101070oti_12","0","0","0","0","","","","0","0","Eddie George","G/GeorEd00","8","10","0","52","27","15","1","91","10","TEN","2000",,,
"299010",":stat_player_game_off","0","","200101140rai","200101140rai_13","0","0","0","0","","","","0","0","Randy Jordan","J/JordRa00","0","0","0","0","1","2","0","2","2","OAK","2000",,,
"299015",":stat_player_game_off","0","","200101140rai","200101140rai_14","0","0","0","0","","","","0","0","Tim Brown","B/BrowTi00","5","17","0","48","0","0","0","0","10","OAK","2000",,,
"299017",":stat_player_game_off","0","","200101070oti","200101070oti_13","0","0","0","0","","","","0","0","Rodney Thomas","T/ThomRo00","0","0","0","0","1","4","0","4","0","TEN","2000",,,
"299019",":stat_player_game_off","0","","200101140rai","200101140rai_15","0","0","0","0","","","","0","0","Terry Kirby","K/KirbTe00","2","31","0","41","0","0","0","0","2","OAK","2000",,,
"299023",":stat_player_game_off","0","","200101070oti","200101070oti_14","0","0","0","0","","","","0","0","Derrick Mason","M/MasoDe00","7","19","0","88","0","0","0","0","15","TEN","2000",,,
"299026",":stat_player_game_off","0","","200101140rai","200101140rai_16","0","0","0","0","","","","0","0","Jeremy Brigham","B/BrigJe00","2","15","0","22","0","0","0","0","4","OAK","2000",,,
"299030",":stat_player_game_off","0","","200101140rai","200101140rai_17","0","0","0","0","","","","0","0","Jerry Porter","P/PortJe00","1","19","0","19","0","0","0","0","1","OAK","2000",,,
"299031",":stat_player_game_off","0","0","200101070oti","200101070oti_15","0","0","0","0","","","","0","0","Frank Wycheck","W/WychFr00","5","13","0","31","0","0","0","0","6","TEN","2000",,,
"299036",":stat_player_game_off","0","","200101140rai","200101140rai_18","0","0","0","0","","","","0","0","James Jett","J/JettJa00","3","12","0","16","0","0","0","0","6","OAK","2000",,,
"299038",":stat_player_game_off","0","","200101070oti","200101070oti_16","0","0","0","0","","","","0","0","Yancey Thigpen","T/ThigYa00","3","11","0","25","0","0","0","0","7","TEN","2000",,,
"299042",":stat_player_game_off","0","","200101140rai","200101140rai_19","0","0","0","0","","","","0","0","Andre Rison","R/RisoAn00","1","16","0","16","0","0","0","0","5","OAK","2000",,,
"299043",":stat_player_game_off","0","","200101070oti","200101070oti_17","0","0","0","0","","","","0","0","Erron Kinney","K/KinnEr00","1","9","0","9","0","0","0","0","2","TEN","2000",,,
"299047",":stat_player_game_off","0","","200101140rai","200101140rai_20","0","0","0","0","","","","0","0","Zack Crockett","C/CrocZa00","2","6","0","9","0","0","0","0","2","OAK","2000",,,
"299048",":stat_player_game_off","0","","200101070oti","200101070oti_18","0","0","0","0","","","","0","0","Chris Sanders","S/SandCh00","0","0","0","0","0","0","0","0","3","TEN","2000",,,
"299051",":stat_player_game_off","0","","200101140rai","200101140rai_21","0","0","0","0","","","","0","0","Rickey Dudley","D/DudlRi00","1","7","0","7","0","0","0","0","3","OAK","2000",,,
"299055",":stat_player_game_off","0","","200101070oti","200101070oti_19","","","","","","","","","","Carl Pickens","P/PickCa00","0","","0","0","","","","","1","TEN","2000",,,
"299058",":stat_player_game_off","0","","200101140rai","200101140rai_22","0","0","0","0","","","","0","0","Jon Ritchie","R/RitcJo00","1","5","0","5","0","0","0","0","1","OAK","2000",,,
"301821",":stat_player_game_off","0","","200012300mia","200012300mia_1","32","17","0","30","82.0","0","0","1","194","Peyton Manning","M/MannPe00","0","0","0","0","1","-2","0","-2","0","IND","2000",,,
"301822",":stat_player_game_off","0","0","200012300mia","200012300mia_2","0","0","0","0","","","","0","0","Edgerrin James","J/JameEd00","3","13","0","33","21","34","0","107","4","IND","2000",,,
"301828",":stat_player_game_off","0","","200012300mia","200012300mia_3","0","0","0","0","","","","0","0","Jerome Pathon","P/PathJe00","5","25","1","69","0","0","0","0","7","IND","2000",,,
"301833",":stat_player_game_off","0","","200012300mia","200012300mia_4","0","0","0","0","","","","0","0","Marvin Harrison","H/HarrMa00","5","30","0","63","0","0","0","0","11","IND","2000",,,
"301836",":stat_player_game_off","0","","200012300mia","200012300mia_5","0","0","0","0","","","","0","0","Ken Dilger","D/DilgKe00","3","8","0","16","0","0","0","0","4","IND","2000",,,
"301842",":stat_player_game_off","0","","200012300mia","200012300mia_6","0","0","0","0","","","","0","0","Marcus Pollard","P/PollMa00","1","13","0","13","0","0","0","0","4","IND","2000",,,
"301850",":stat_player_game_off","0","","200012300mia","200012300mia_7","0","0","0","0","","","","0","0","Terrence Wilkins","W/WilkTe00","0","0","0","0","0","0","0","0","2","IND","2000",,,
"301852",":stat_player_game_off","0","","200012300mia","200012300mia_8","0","0","0","0","","","","0","0","Hunter Smith","S/SmitHu21","0","0","0","0","1","-6","0","-6","0","IND","2000",,,
"301857",":stat_player_game_off","0","","200012300mia","200012300mia_9","34","19","3","19","44.4","2","9","1","185","Jay Fiedler","F/FiedJa00","0","0","0","0","7","11","0","43","0","MIA","2000",,,
"301860",":stat_player_game_off","0","","200012300mia","200012300mia_10","0","0","0","0","","","","0","0","Lamar Smith","S/SmitLa00","3","8","0","18","40","24","2","209","3","MIA","2000",,,
"301868",":stat_player_game_off","0","","200012300mia","200012300mia_11","0","0","0","0","","","","0","0","Tony Martin","M/MartTo00","2","12","0","21","1","6","0","6","4","MIA","2000",,,
"301870",":stat_player_game_off","0","","200012300mia","200012300mia_12","0","0","0","0","","","","0","0","O.J. McDuffie","M/McDuO.00","4","19","0","57","0","0","0","0","12","MIA","2000",,,
"301875",":stat_player_game_off","0","","200012300mia","200012300mia_13","0","0","0","0","","","","0","0","Oronde Gadsden","G/GadsOr00","4","13","0","38","0","0","0","0","5","MIA","2000",,,
"301880",":stat_player_game_off","0","0","200012300mia","200012300mia_14","0","0","0","0","","","","0","0","J.J. Johnson","J/JohnJ.00","2","11","0","18","0","0","0","0","2","MIA","2000",,,
"301885",":stat_player_game_off","0","","200012300mia","200012300mia_15","0","0","0","0","","","","0","0","Autry Denson","D/DensAu00","2","10","0","18","0","0","0","0","3","MIA","2000",,,
"301891",":stat_player_game_off","0","","200012300mia","200012300mia_16","0","0","0","0","","","","0","0","Jed Weaver","W/WeavJe00","1","9","1","9","0","0","0","0","1","MIA","2000",,,
"301893",":stat_player_game_off","0","","200012300mia","200012300mia_17","0","0","0","0","","","","0","0","Jeff Ogden","O/OgdeJe00","1","6","0","6","0","0","0","0","2","MIA","2000",,,
"301896",":stat_player_game_off","0","","200012300mia","200012300mia_18","","","","","","","","","","Rob Konrad","K/KonrRo00","0","","0","0","","","","","2","MIA","2000",,,
"302304",":stat_player_game_off","0","","200101060rai","200101060rai_1","37","18","3","33","28.7","2","12","0","176","Jay Fiedler","F/FiedJa00","0","0","0","0","3","6","0","12","0","MIA","2000",,,
"302305",":stat_player_game_off","1","1","200012300nor","200012300nor_1","40","24","3","38","83.9","2","15","3","365","Kurt Warner","W/WarnKu00","0","0","0","0","1","5","1","5","0","STL","2000",,,
"302307",":stat_player_game_off","0","","200101060rai","200101060rai_2","0","0","0","0","","","","0","0","Autry Denson","D/DensAu00","6","14","0","42","3","7","0","12","9","MIA","2000",,,
"302313",":stat_player_game_off","0","","200012300nor","200012300nor_2","0","0","0","0","","","","0","0","Marshall Faulk","F/FaulMa00","7","35","1","99","14","4","0","24","8","STL","2000",,,
"302315",":stat_player_game_off","0","0","200101060rai","200101060rai_3","0","0","0","0","","","","0","0","J.J. Johnson","J/JohnJ.00","1","7","0","7","3","5","0","12","1","MIA","2000",,,
"302317",":stat_player_game_off","0","","200012300nor","200012300nor_3","0","0","0","0","","","","0","0","Justin Watson","W/WatsJu00","0","0","0","0","1","5","0","5","0","STL","2000",,,
"302323",":stat_player_game_off","0","","200012300nor","200012300nor_4","0","0","0","0","","","","0","0","Isaac Bruce","B/BrucIs00","7","29","1","127","0","0","0","0","11","STL","2000",,,
"302326",":stat_player_game_off","1","1","200101060rai","200101060rai_4","0","0","0","0","","","","0","0","Lamar Smith","S/SmitLa00","1","4","0","4","8","11","0","5","1","MIA","2000",,,
"302327",":stat_player_game_off","0","","200012300nor","200012300nor_5","0","0","0","0","","","","0","0","Ricky Proehl","P/ProeRi00","3","21","1","46","0","0","0","0","7","STL","2000",,,
"302329",":stat_player_game_off","0","","200101060rai","200101060rai_5","0","0","0","0","","","","0","0","O.J. McDuffie","M/McDuO.00","3","19","0","43","0","0","0","0","7","MIA","2000",,,
"302330",":stat_player_game_off","1","1","200012300nor","200012300nor_6","0","0","0","0","","","","0","0","Az-Zahir Hakim","H/HakiAz00","2","38","0","42","0","0","0","0","4","STL","2000",,,
"302337",":stat_player_game_off","0","","200101060rai","200101060rai_6","0","0","0","0","","","","0","0","Oronde Gadsden","G/GadsOr00","1","33","0","33","0","0","0","0","5","MIA","2000",,,
"302338",":stat_player_game_off","0","","200012300nor","200012300nor_7","0","0","0","0","","","","0","0","Torry Holt","H/HoltTo00","2","20","0","26","0","0","0","0","6","STL","2000",,,
"302341",":stat_player_game_off","0","","200101060rai","200101060rai_7","0","0","0","0","","","","0","0","Tony Martin","M/MartTo00","2","15","0","27","0","0","0","0","6","MIA","2000",,,
"302343",":stat_player_game_off","0","","200012300nor","200012300nor_8","0","0","0","0","","","","0","0","Roland Williams","W/WillRo01","3","14","0","25","0","0","0","0","3","STL","2000",,,
"302348",":stat_player_game_off","0","","200101060rai","200101060rai_8","0","0","0","0","","","","0","0","Leslie Shepherd","S/ShepLe00","4","11","0","20","0","0","0","0","8","MIA","2000",,,
