"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","year","_start","_end","_type"
"261632",":stat_player_game_kick","","","200312070det","200312070det_2","Darren Bennett","B/BennDa20","7","52","297","42.4","SDG","","","2003",,,
"261635",":stat_player_game_kick","","","200312070det","200312070det_3","Jason Hanson","H/hansojas01","0","","0","","DET","1","1","2003",,,
"261637",":stat_player_game_kick","","","200312070det","200312070det_4","Nick Harris","H/HarrNi20","9","49","387","43.0","DET","","","2003",,,
"261640",":stat_player_game_kick","","","200312070jax","200312070jax_1","Chad Stanley","S/StanCh20","10","52","419","41.9","HOU","","","2003",,,
"261644",":stat_player_game_kick","3","2","200312070jax","200312070jax_2","Seth Marler","M/marleset01","0","","0","","JAX","3","3","2003",,,
"261646",":stat_player_game_kick","","","200311270det","200311270det_1","Ryan Longwell","L/longwrya01","0","","0","","GNB","2","2","2003",,,
"261647",":stat_player_game_kick","","","200312070jax","200312070jax_3","Mark Royals","R/RoyaMa20","6","48","246","41.0","JAX","","","2003",,,
"261648",":stat_player_game_kick","2","2","200311270dal","200311270dal_1","Olindo Mare","M/marexoli01","0","","0","","MIA","5","4","2003",,,
"261649",":stat_player_game_kick","","","200311270det","200311270det_2","Josh Bidwell","B/BidwJo20","6","49","233","38.8","GNB","","","2003",,,
"261653",":stat_player_game_kick","","","200311270dal","200311270dal_2","Matt Turk","T/TurkMa20","4","47","170","42.5","MIA","","","2003",,,
"261654",":stat_player_game_kick","5","5","200311270det","200311270det_3","Jason Hanson","H/hansojas01","0","","0","","DET","1","1","2003",,,
"261657",":stat_player_game_kick","5","5","200312070oti","200312070oti_1","Mike Vanderjagt","V/vandemik01","0","","0","","IND","2","2","2003",,,
"261658",":stat_player_game_kick","","","200311270dal","200311270dal_3","Billy Cundiff","C/cundibil01","0","","0","","DAL","3","3","2003",,,
"261659",":stat_player_game_kick","","","200311270det","200311270det_4","Nick Harris","H/HarrNi20","6","44","217","36.2","DET","","","2003",,,
