"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","year","_start","_end","_type"
"281841",":stat_player_game_return","200109300den","3","0","0","55","18.3","200109300den_1","Jermaine Lewis","L/LewiJe00","2","0","0","13","6.5","BAL","2001",,,
"281844",":stat_player_game_return","200109300den","0","0","0","0","","200109300den_2","Deltha O'Neal","O/ONeaDe00","3","0","0","15","5.0","DEN","2001",,,
"281848",":stat_player_game_return","200109300den","5","0","0","165","33.0","200109300den_3","Kevin Kasper","K/KaspKe00","0","0","0","0","","DEN","2001",,,
"281869",":stat_player_game_return","200109090sfo","0","0","0","0","","200109090sfo_1","Darrien Gordon","G/GordDa20","1","0","0","9","9.0","ATL","2001",,,
"281872",":stat_player_game_return","200109090sfo","3","0","0","51","17.0","200109090sfo_2","Darrick Vaughn","V/VaugDa20","0","0","0","0","","ATL","2001",,,
"281876",":stat_player_game_return","200109090sfo","1","0","0","7","7.0","200109090sfo_3","Brian Kozlowski","K/KozlBr00","0","0","0","0","","ATL","2001",,,
"281880",":stat_player_game_return","200109090sfo","2","0","0","32","16.0","200109090sfo_4","Jonas Lewis","L/LewiJo00","0","0","0","0","","SFO","2001",,,
"281881",":stat_player_game_return","200110070phi","0","0","0","0","","200110070phi_1","Arnold Jackson","J/JackAr00","3","0","0","24","8.0","ARI","2001",,,
"281884",":stat_player_game_return","200109090sfo","2","0","0","45","22.5","200109090sfo_5","Vinny Sutherland","S/SuthVi00","0","0","0","0","","SFO","2001",,,
"281885",":stat_player_game_return","200110070phi","5","0","0","87","17.4","200110070phi_2","MarTay Jenkins","J/JenkMa00","0","0","0","0","","ARI","2001",,,
"281889",":stat_player_game_return","200110070phi","1","0","0","20","20.0","200110070phi_3","Brian Mitchell","M/MitcBr00","2","0","0","18","9.0","PHI","2001",,,
"281893",":stat_player_game_return","200110140chi","0","0","0","0","","200110140chi_1","Arnold Jackson","J/JackAr00","3","0","0","29","9.7","ARI","2001",,,
"281894",":stat_player_game_return","200110070phi","1","0","0","34","34.0","200110070phi_4","James Thrash","T/ThraJa00","0","0","0","0","","PHI","2001",,,
"281898",":stat_player_game_return","200110140chi","2","0","0","54","27.0","200110140chi_2","MarTay Jenkins","J/JenkMa00","0","0","0","0","","ARI","2001",,,
"281900",":stat_player_game_return","200110140chi","1","0","0","7","7.0","200110140chi_3","Joel Makovicka","M/MakoJo00","0","0","0","0","","ARI","2001",,,
"281902",":stat_player_game_return","200109230cin","0","0","0","0","","200109230cin_1","Chris McAlister","M/McAlCh00","5","0","0","44","8.8","BAL","2001",,,
"281904",":stat_player_game_return","200110140chi","2","0","0","41","20.5","200110140chi_4","Glyn Milburn","M/MilbGl00","3","0","0","21","7.0","CHI","2001",,,
