"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","year","_start","_end","_type"
"240694",":stat_player_game_kick","1","1","200409190rai","200409190rai_1","Rian Lindell","L/linderia01","0","","0","","BUF","1","1","2004",,,
"240697",":stat_player_game_kick","","","200409190rai","200409190rai_2","Brian Moorman","M/MoorBr24","5","63","199","39.8","BUF","","","2004",,,
"240702",":stat_player_game_kick","2","2","200409190rai","200409190rai_3","Sebastian Janikowski","J/janikseb01","0","","0","","OAK","1","1","2004",,,
"240704",":stat_player_game_kick","","","200409190rai","200409190rai_4","Shane Lechler","L/LechSh20","5","62","249","49.8","OAK","","","2004",,,
"240719",":stat_player_game_kick","","","200409190kan","200409190kan_1","John Kasay","K/kasayjoh01","0","","0","","CAR","4","4","2004",,,
"240721",":stat_player_game_kick","","","200409190kan","200409190kan_2","Todd Sauerbrun","S/SaueTo20","6","47","239","39.8","CAR","","","2004",,,
"240724",":stat_player_game_kick","2","1","200409190kan","200409190kan_3","Lawrence Tynes","T/tyneslaw01","0","","0","","KAN","2","2","2004",,,
"240726",":stat_player_game_kick","","","200409190kan","200409190kan_4","Stephen Cheek","C/CheeSt20","5","52","220","44.0","KAN","","","2004",,,
"240739",":stat_player_game_kick","","","200409190dal","200409190dal_1","Derrick Frost","F/FrosDe20","4","51","179","44.8","CLE","","","2004",,,
"240742",":stat_player_game_kick","4","4","200409190dal","200409190dal_2","Phil Dawson","D/dawsophi01","0","","0","","CLE","","","2004",,,
"240745",":stat_player_game_kick","2","1","200409190dal","200409190dal_3","Billy Cundiff","C/cundibil01","0","","0","","DAL","2","2","2004",,,
"240747",":stat_player_game_kick","","","200409190dal","200409190dal_4","Mat McBriar","M/McBrMa20","3","53","119","39.7","DAL","","","2004",,,
"240751",":stat_player_game_kick","","","200409120sfo","200409120sfo_1","Jay Feely","F/feelyjay01","0","","0","","ATL","3","3","2004",,,
"240755",":stat_player_game_kick","","","200409120sfo","200409120sfo_2","Chris Mohr","M/MohrCh20","8","55","319","39.9","ATL","","","2004",,,
"240760",":stat_player_game_kick","2","2","200409120sfo","200409120sfo_3","Todd Peterson","P/petertod01","0","","0","","SFO","1","1","2004",,,
"240762",":stat_player_game_kick","","","200409120sfo","200409120sfo_4","Andy Lee","L/LeexAn20","6","55","245","40.8","SFO","","","2004",,,
"240767",":stat_player_game_kick","","","200409120cle","200409120cle_1","Dave Zastudil","Z/ZastDa20","7","52","271","38.7","BAL","","","2004",,,
"240769",":stat_player_game_kick","1","1","200409120cle","200409120cle_2","Matt Stover","S/stovemat01","0","","0","","BAL","","","2004",,,
"240772",":stat_player_game_kick","1","1","200409120ram","200409120ram_1","Neil Rackers","R/rackenei01","0","","0","","ARI","1","1","2004",,,
"240773",":stat_player_game_kick","2","2","200409120cle","200409120cle_3","Phil Dawson","D/dawsophi01","0","","0","","CLE","2","2","2004",,,
"240775",":stat_player_game_kick","","","200409120ram","200409120ram_2","Scott Player","P/PlaySc20","8","48","342","42.8","ARI","","","2004",,,
