"_id","_labels","def_int","def_int_long","def_int_td","def_int_yds","fumbles_forced","fumbles_rec","fumbles_rec_td","fumbles_rec_yds","game_code","label","pass_defended","player","player_code","qb_hits","sacks","tackles_assists","tackles_combined","tackles_loss","tackles_solo","team","year","_start","_end","_type"
"226667",":stat_player_game_def","0","0","0","0","0","0","0","0","200509110nyg","200509110nyg_6","0","Obafemi Ayanbadejo","A/AyanOb00","","0.0","0","1","0","1","ARI","2005",,,
"226668",":stat_player_game_def","","","","","0","0","0","0","200509180oti","200509180oti_6","1","Ray Lewis","L/LewiRa00","","0.0","1","9","0","8","BAL","2005",,,
"226669",":stat_player_game_def","0","0","0","0","0","0","0","0","200509110sdg","200509110sdg_6","0","Marion Barber III","B/BarbMa01","","0.0","1","2","0","1","DAL","2005",,,
"226670",":stat_player_game_def","","","","","0","0","0","0","200509180gnb","200509180gnb_7","0","Kenard Lang","L/LangKe20","","0.0","1","7","1","6","CLE","2005",,,
"226671",":stat_player_game_def","","","","","0","0","0","0","200509250buf","200509250buf_6","1","Keith Brooking","B/BrooKe00","","0.0","3","9","1","6","ATL","2005",,,
"226672",":stat_player_game_def","","","","","1","0","0","0","200509180sea","200509180sea_6","1","Jason Webster","W/WebsJa20","","0.0","2","9","0","7","ATL","2005",,,
"226673",":stat_player_game_def","","","","","0","0","0","0","200509110was","200509110was_7","1","Mike Brown","B/BrowMi99","","0.0","0","9","0","9","CHI","2005",,,
"226674",":stat_player_game_def","","","","","0","1","0","0","200509110mia","200509110mia_6","0","Ian Gold","G/GoldIa00","","0.0","0","6","4","6","DEN","2005",,,
"226675",":stat_player_game_def","","","","","0","0","0","0","200509250mia","200509250mia_6","1","Julius Peppers","P/PeppJu99","","0.0","1","4","0","3","CAR","2005",,,
"226676",":stat_player_game_def","","","","","0","0","0","0","200509110cle","200509110cle_7","1","Madieu Williams","W/WillMa20","","0.0","2","7","0","5","CIN","2005",,,
"226677",":stat_player_game_def","","","","","0","0","0","0","200509110nyg","200509110nyg_7","0","Adrian Wilson","W/WilsAd99","","0.0","1","8","0","7","ARI","2005",,,
"226678",":stat_player_game_def","0","0","0","0","0","1","0","0","200509110sdg","200509110sdg_7","0","Lousaka Polite","P/PoliLo00","","0.0","0","2","0","2","DAL","2005",,,
"226679",":stat_player_game_def","","","","","0","0","0","0","200509180gnb","200509180gnb_8","0","Ray Mickens","M/MickRa20","","0.0","1","7","0","6","CLE","2005",,,
"226680",":stat_player_game_def","","","","","0","0","0","0","200509180sea","200509180sea_7","0","Keion Carpenter","C/CarpKe20","","0.0","0","8","0","8","ATL","2005",,,
"226681",":stat_player_game_def","","","","","1","0","0","0","200509110mia","200509110mia_7","0","D.J. Williams","W/WillD.20","","0.0","1","6","1","5","DEN","2005",,,
"226682",":stat_player_game_def","","","","","0","0","0","0","200509180oti","200509180oti_7","0","Adalius Thomas","T/ThomAd00","","0.0","2","8","0","6","BAL","2005",,,
"226683",":stat_player_game_def","","","","","0","0","0","0","200509250buf","200509250buf_7","0","Ed Hartwell","H/HartEd20","","0.0","3","8","0","5","ATL","2005",,,
"226684",":stat_player_game_def","","","","","1","0","0","0","200509110was","200509110was_8","0","Charles Tillman","T/TillCh20","","0.0","0","8","0","8","CHI","2005",,,
"226685",":stat_player_game_def","","","","","0","0","0","0","200509110cle","200509110cle_8","0","Kevin Kaesviharn","K/KaesKe20","","0.0","2","6","0","4","CIN","2005",,,
"226686",":stat_player_game_def","","","","","0","0","0","0","200509110nyg","200509110nyg_8","0","Robert Griffith","G/GrifRo00","","0.0","3","5","0","2","ARI","2005",,,
"226687",":stat_player_game_def","","","","","0","0","0","0","200509250mia","200509250mia_7","0","Brentson Buckner","B/BuckBr20","","0.0","2","3","0","1","CAR","2005",,,
"226688",":stat_player_game_def","","","","","0","0","0","0","200509180sea","200509180sea_8","1","Ed Hartwell","H/HartEd20","","0.0","3","8","1","5","ATL","2005",,,
"226689",":stat_player_game_def","0","0","0","0","0","0","0","0","200509110sdg","200509110sdg_8","0","Terrance Copper","C/CoppTe00","","0.0","0","1","0","1","DAL","2005",,,
"226690",":stat_player_game_def","","","","","0","0","0","0","200509180oti","200509180oti_8","0","Kelly Gregg","G/GregKe20","","0.0","4","7","1","3","BAL","2005",,,
