"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","_start","_end","_type"
"1318",":stat_player_game_return","202109130rai","0","0","0","0","","202109130rai_1","Devin Duvernay","D/DuveDe00","4","30","0","67","16.8","BAL",,,
"1319",":stat_player_game_return","202109130rai","0","0","0","0","","202109130rai_2","Hunter Renfrow","R/RenfHu00","2","7","0","10","5.0","LVR",,,
"1320",":stat_player_game_return","202109130rai","2","20","0","33","16.5","202109130rai_3","Henry Ruggs III","R/RuggHe00","0","0","0","0","","LVR",,,
"2967",":stat_player_game_return","202110030dal","1","14","0","14","14.0","202110030dal_1","Tony Pollard","P/PollTo00","0","0","0","0","","DAL",,,
"2986",":stat_player_game_return","202110030ram","1","9","0","9","9.0","202110030ram_1","Rondale Moore","M/MoorRo02","0","0","0","0","","ARI",,,
"3055",":stat_player_game_return","202111070nor","3","25","0","65","21.7","202111070nor_1","Cordarrelle Patterson","P/PattCo00","0","0","0","0","","ATL",,,
"3061",":stat_player_game_return","202110030ram","0","0","0","0","","202110030ram_2","Tutu Atwell","A/AtweTu00","2","4","0","4","2.0","LAR",,,
"3070",":stat_player_game_return","202109230htx","0","0","0","0","","202109230htx_1","Alex Erickson","E/EricAl01","2","12","0","17","8.5","CAR",,,
"3072",":stat_player_game_return","202109260det","0","0","0","0","","202109260det_1","Devin Duvernay","D/DuveDe00","2","29","0","42","21.0","BAL",,,
"3082",":stat_player_game_return","202109260det","0","0","0","0","","202109260det_2","Kalif Raymond","R/RaymKa00","1","11","0","11","11.0","DET",,,
"3088",":stat_player_game_return","202110100kan","1","4","0","4","4.0","202110100kan_1","Isaiah McKenzie","M/McKeIs00","1","7","0","7","7.0","BUF",,,
"3097",":stat_player_game_return","202112050pit","2","35","0","61","30.5","202112050pit_1","Devin Duvernay","D/DuveDe00","2","12","0","12","6.0","BAL",,,
"3099",":stat_player_game_return","202109230htx","2","38","0","57","28.5","202109230htx_2","Andre Roberts","R/RobeAn00","1","-4","0","-4","-4.0","HOU",,,
"3103",":stat_player_game_return","202111070nor","2","27","0","51","25.5","202111070nor_2","Deonte Harty","H/HarrDe07","3","26","0","50","16.7","NOR",,,
