"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","_start","_end","_type"
"1348",":stat_player_game_def_adv","2","65","8","57.1%","1","82","0","97.9","14","12.4","17","10.3","5.9","202109130rai","202109130rai_1","Marlon Humphrey","H/HumpMa00","0","0","0","0.0","9","1","10.0%","BAL",,,
"1349",":stat_player_game_def_adv","0","69","6","75.0%","0","80","1","66.7","8","12.4","11","13.3","10.0","202109130rai","202109130rai_2","Anthony Averett","A/AverAn00","0","0","0","0.0","7","0","0.0%","BAL",,,
"1350",":stat_player_game_def_adv","0","13","4","80.0%","0","41","0","100.8","5","4.0","28","10.3","8.2","202109130rai","202109130rai_3","Tavon Young","Y/YounTa01","0","0","0","0.0","3","0","0.0%","BAL",,,
"1351",":stat_player_game_def_adv","6","27","3","75.0%","1","39","0","144.8","4","8.0","12","13.0","9.8","202109130rai","202109130rai_4","DeShon Elliott","E/ElliDe02","2","2","0","0.0","7","1","12.5%","BAL",,,
"1352",":stat_player_game_def_adv","6","14","3","100.0%","0","37","0","118.1","3","4.7","23","12.3","12.3","202109130rai","202109130rai_5","Tyus Bowser","B/BowsTy00","1","1","0","0.0","1","1","50.0%","BAL",,,
"1353",":stat_player_game_def_adv","1","2","2","66.7%","0","18","0","82.6","3","2.0","16","9.0","6.0","202109130rai","202109130rai_6","Malik Harrison","H/HarrMa06","0","0","0","0.0","3","1","25.0%","BAL",,,
"1354",":stat_player_game_def_adv","0","31","2","40.0%","0","42","0","70.4","5","19.8","11","21.0","8.4","202109130rai","202109130rai_7","Chris Westry","W/WestCh03","0","0","0","0.0","3","0","0.0%","BAL",,,
"1355",":stat_player_game_def_adv","4","2","1","100.0%","0","6","0","91.7","1","2.0","4","6.0","6.0","202109130rai","202109130rai_8","Pernell McPhee","M/McPhPe00","1","0","0","1.0","2","0","0.0%","BAL",,,
"1356",":stat_player_game_def_adv","3","6","1","100.0%","0","16","0","118.7","1","6.0","10","16.0","16.0","202109130rai","202109130rai_9","Chris Board","B/BoarCh00","1","0","1","0.0","3","0","0.0%","BAL",,,
"1357",":stat_player_game_def_adv","7","0","1","100.0%","0","27","0","118.7","1","0.0","27","27.0","27.0","202109130rai","202109130rai_10","Justin Houston","H/HousJu00","1","0","1","0.0","2","1","33.3%","BAL",,,
"1358",":stat_player_game_def_adv","6","6","1","33.3%","0","8","0","42.4","3","9.7","2","8.0","2.7","202109130rai","202109130rai_11","Chuck Clark","C/ClarCh00","1","1","0","0.0","3","0","0.0%","BAL",,,
"1359",":stat_player_game_def_adv","0","30","1","50.0%","0","37","0","95.8","2","24.5","7","37.0","18.5","202109130rai","202109130rai_12","Brandon Stephens","S/StepBr01","0","0","0","0.0","2","0","0.0%","BAL",,,
"1360",":stat_player_game_def_adv","0","1","1","100.0%","0","2","0","79.2","1","1.0","1","2.0","2.0","202109130rai","202109130rai_13","Ronnie Stanley","S/StanRo00","0","0","0","0.0","0","0","","BAL",,,
"1361",":stat_player_game_def_adv","1","","0","","","","0","","0","","","","","202109130rai","202109130rai_14","Odafe Oweh ","O/OwehJa00","3","1","1","1.0","2","0","0.0%","BAL",,,
"1362",":stat_player_game_def_adv","2","","0","0.0%","","","0","39.6","1","3.0","","","0.0","202109130rai","202109130rai_15","Patrick Queen","Q/QueePa00","2","1","0","1.0","9","0","0.0%","BAL",,,
"1363",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202109130rai","202109130rai_16","Calais Campbell","C/CampCa99","1","0","1","0.0","2","1","33.3%","BAL",,,
"1364",":stat_player_game_def_adv","1","","0","","","","0","","0","","","","","202109130rai","202109130rai_17","Jaylon Ferguson","F/FergJa02","0","0","0","0.0","2","0","0.0%","BAL",,,
"1365",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202109130rai","202109130rai_18","Justin Ellis","E/ElliJu01","0","0","0","0.0","1","1","50.0%","BAL",,,
"1366",":stat_player_game_def_adv","0","22","4","50.0%","0","37","0","63.0","8","5.3","15","9.3","4.6","202109130rai","202109130rai_19","Denzel Perryman","P/PerrDe00","0","0","0","0.0","10","1","9.1%","LVR",,,
"1367",":stat_player_game_def_adv","1","4","3","60.0%","0","17","0","66.2","5","5.8","13","5.7","3.4","202109130rai","202109130rai_20","Johnathan Abram","A/AbraJo01","0","0","0","0.0","10","0","0.0%","LVR",,,
"1368",":stat_player_game_def_adv","0","0","3","100.0%","0","33","0","112.5","3","0.0","33","11.0","11.0","202109130rai","202109130rai_21","Cory Littleton","L/LittCo01","0","0","0","0.0","10","1","9.1%","LVR",,,
"1369",":stat_player_game_def_adv","0","29","2","100.0%","1","39","0","158.3","2","14.5","10","19.5","19.5","202109130rai","202109130rai_22","Trevon Moehrig","M/MoehTr00","0","0","0","0.0","5","0","0.0%","LVR",,,
"1370",":stat_player_game_def_adv","0","19","2","100.0%","0","19","0","106.2","2","9.5","0","9.5","9.5","202109130rai","202109130rai_23","Trayvon Mullen","M/MullTr00","0","0","0","0.0","2","0","0.0%","LVR",,,
"1371",":stat_player_game_def_adv","0","46","2","66.7%","0","53","0","109.7","3","16.0","7","26.5","17.7","202109130rai","202109130rai_24","Nick Kwiatkoski","K/KwiaNi00","0","0","0","0.0","5","0","0.0%","LVR",,,
"1372",":stat_player_game_def_adv","0","7","1","50.0%","0","8","0","60.4","2","9.0","1","8.0","4.0","202109130rai","202109130rai_25","Dallin Leavitt","L/LeavDa00","0","0","0","0.0","1","0","0.0%","LVR",,,
"1373",":stat_player_game_def_adv","0","-2","1","33.3%","0","0","0","42.4","3","12.7","2","0.0","0.0","202109130rai","202109130rai_26","Casey Hayward","H/HaywCa00","0","0","0","0.0","2","0","0.0%","LVR",,,
"1374",":stat_player_game_def_adv","1","9","1","100.0%","0","29","0","118.7","1","9.0","20","29.0","29.0","202109130rai","202109130rai_27","K.J. Wright","W/WrigK.00","0","0","0","0.0","2","0","0.0%","LVR",,,
"1375",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202109130rai","202109130rai_28","Maxx Crosby","C/CrosMa00","6","1","3","2.0","6","0","0.0%","LVR",,,
"1376",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202109130rai","202109130rai_29","Yannick Ngakoue","N/NgakYa00","2","1","1","0.0","5","1","16.7%","LVR",,,
"1377",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202109130rai","202109130rai_30","Carl Nassib","N/NassCa00","1","0","0","1.0","3","1","25.0%","LVR",,,
"1378",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202109130rai","202109130rai_31","Johnathan Hankins","H/HankJo00","1","0","1","0.0","2","2","50.0%","LVR",,,
"1379",":stat_player_game_def_adv","2","","0","","","","0","","0","","","","","202109130rai","202109130rai_32","Nate Hobbs","H/HobbNa00","0","0","0","0.0","2","0","0.0%","LVR",,,
"3843",":stat_player_game_def_adv","0","71","9","90.0%","1","103","0","142.9","10","7.8","32","11.4","10.3","202110030ram","202110030ram_1","Marco Wilson","W/WilsMa04","0","0","0","0.0","8","1","11.1%","ARI",,,
"3874",":stat_player_game_def_adv","0","35","4","66.7%","0","38","0","84.0","6","12.5","3","9.5","6.3","202109260jax","202109260jax_1","Robert Alford","A/AlfoRo00","0","0","0","0.0","5","0","0.0%","ARI",,,
"3877",":stat_player_game_def_adv","0","18","3","75.0%","0","52","0","116.7","4","5.3","34","17.3","13.0","202110030dal","202110030dal_1","Rashaan Melvin","M/MelvRa00","0","0","0","0.0","2","0","0.0%","CAR",,,
"3886",":stat_player_game_def_adv","0","45","7","58.3%","1","115","0","118.4","12","12.3","70","16.4","9.6","202112050pit","202112050pit_1","Anthony Averett","A/AverAn00","0","0","0","0.0","3","3","50.0%","BAL",,,
"3907",":stat_player_game_def_adv","3","15","4","66.7%","0","40","2","45.8","6","2.8","25","10.0","6.7","202109260jax","202109260jax_2","Byron Murphy","M/MurpBy00","0","0","0","0.0","4","2","33.3%","ARI",,,
"3909",":stat_player_game_def_adv","2","71","7","77.8%","0","83","0","105.1","9","10.6","12","11.9","9.2","202111070nor","202111070nor_1","Erik Harris","H/HarrEr00","0","0","0","0.0","8","3","27.3%","ATL",,,
"3920",":stat_player_game_def_adv","0","29","7","100.0%","1","65","0","144.9","7","4.1","36","9.3","9.3","202111070sfo","202111070sfo_1","Jordan Hicks","H/HickJo00","0","0","0","0.0","8","2","20.0%","ARI",,,
"3921",":stat_player_game_def_adv","1","14","4","57.1%","0","27","0","65.8","7","8.1","13","6.8","3.9","202110030ram","202110030ram_2","Jalen Thompson","T/ThomJa04","0","0","0","0.0","10","0","0.0%","ARI",,,
"3929",":stat_player_game_def_adv","5","18","8","88.9%","1","56","0","129.6","9","2.6","38","7.0","6.2","202112050chi","202112050chi_1","Jordan Hicks","H/HickJo00","1","0","0","1.0","12","1","7.7%","ARI",,,
"3931",":stat_player_game_def_adv","4","17","4","80.0%","0","31","0","92.5","5","4.2","14","7.8","6.2","202109260jax","202109260jax_3","Isaiah Simmons","S/SimmIs00","0","0","0","0.0","6","1","14.3%","ARI",,,
"3933",":stat_player_game_def_adv","2","7","3","100.0%","0","22","0","97.2","3","2.3","15","7.3","7.3","202110030dal","202110030dal_2","Shaq Thompson","T/ThomSh01","0","0","0","0.0","5","4","44.4%","CAR",,,
"3937",":stat_player_game_def_adv","7","5","3","100.0%","0","34","0","113.9","3","1.7","29","11.3","11.3","202112050pit","202112050pit_2","Patrick Queen","Q/QueePa00","0","0","0","0.0","6","1","14.3%","BAL",,,
"3942",":stat_player_game_def_adv","1","25","5","83.3%","0","49","0","100.7","6","6.0","24","9.8","8.2","202111070sfo","202111070sfo_2","Isaiah Simmons","S/SimmIs00","0","0","0","0.0","6","0","0.0%","ARI",,,
"3944",":stat_player_game_def_adv","0","32","4","80.0%","0","46","0","105.0","5","6.4","14","11.5","9.2","202109120oti","202109120oti_1","Marco Wilson","W/WilsMa04","0","0","0","0.0","3","0","0.0%","ARI",,,
"3945",":stat_player_game_def_adv","5","42","5","71.4%","0","77","0","107.4","7","9.9","35","15.4","11.0","202111280jax","202111280jax_1","Mykal Walker","W/WalkMy00","2","1","1","0.0","12","2","14.3%","ATL",,,
"3948",":stat_player_game_def_adv","1","12","3","100.0%","1","25","0","141.0","3","4.0","13","8.3","8.3","202110030ram","202110030ram_3","Robert Alford","A/AlfoRo00","0","0","0","0.0","4","0","0.0%","ARI",,,
"3953",":stat_player_game_def_adv","3","24","3","100.0%","3","47","0","158.3","3","8.0","23","15.7","15.7","202110030dal","202110030dal_3","Jeremy Chinn","C/ChinJe00","0","0","0","0.0","6","3","33.3%","CAR",,,
