"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","_start","_end","_type"
"1314",":stat_player_game_kick","2","2","202109130rai","202109130rai_1","Justin Tucker","T/TuckJu00","0","0","0","","BAL","3","3",,,
"1315",":stat_player_game_kick","","","202109130rai","202109130rai_2","Sam Koch","K/KochSa20","4","49","179","44.8","BAL","","",,,
"1316",":stat_player_game_kick","2","2","202109130rai","202109130rai_3","Daniel Carlson","C/CarlDa00","0","0","0","","LVR","3","3",,,
"1317",":stat_player_game_kick","","","202109130rai","202109130rai_4","AJ Cole III","C/ColeAJ01","6","67","316","52.7","LVR","","",,,
"2818",":stat_player_game_kick","3","3","202110030ram","202110030ram_1","Matt Prater","P/PratMa20","0","0","0","","ARI","4","4",,,
"2855",":stat_player_game_kick","","","202110030ram","202110030ram_2","Andy Lee","L/LeexAn20","2","47","88","44.0","ARI","","",,,
"2895",":stat_player_game_kick","3","2","202110030ram","202110030ram_3","Matt Gay","G/GayxMa00","0","0","0","","LAR","2","2",,,
"2897",":stat_player_game_kick","1","","202110030dal","202110030dal_1","Zane Gonzalez","G/GonzZa00","0","0","0","","CAR","4","4",,,
"2912",":stat_player_game_kick","","","202110030ram","202110030ram_4","Johnny Hekker","H/HekkJo00","1","37","37","37.0","LAR","","",,,
"2922",":stat_player_game_kick","","","202110030dal","202110030dal_2","Joseph Charlton","C/CharJo01","3","49","136","45.3","CAR","","",,,
"2933",":stat_player_game_kick","1","1","202110030dal","202110030dal_3","Greg Zuerlein","Z/ZuerGr00","0","0","0","","DAL","3","3",,,
"2943",":stat_player_game_kick","2","2","202112050pit","202112050pit_1","Justin Tucker","T/TuckJu00","0","0","0","","BAL","1","1",,,
"2956",":stat_player_game_kick","","","202110030dal","202110030dal_4","Bryan Anger","A/AngeBr00","4","63","190","47.5","DAL","","",,,
"2959",":stat_player_game_kick","2","2","202111070nor","202111070nor_1","Younghoe Koo","K/KooxYo00","0","0","0","","ATL","3","3",,,
"2960",":stat_player_game_kick","1","1","202109230htx","202109230htx_1","Zane Gonzalez","G/GonzZa00","0","0","0","","CAR","3","3",,,
"2961",":stat_player_game_kick","","","202112050pit","202112050pit_2","Sam Koch","K/KochSa20","4","57","203","50.8","BAL","","",,,
"2983",":stat_player_game_kick","","","202111070nor","202111070nor_2","Dustin Colquitt","C/ColqDu20","5","52","224","44.8","ATL","","",,,
