"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","year","_start","_end","_type"
"320713",":stat_player_game_kick","3","2","199809270ram","199809270ram_1","Joe Nedney","N/nednejoe01","0","","0","","ARI","2","2","1998",,,
"320714",":stat_player_game_kick","1","1","199809270was","199809270was_1","Jason Elam","E/elamxjas01","0","","0","","DEN","5","5","1998",,,
"320715",":stat_player_game_kick","","","199809130mia","199809130mia_1","Steve Christie","C/chrisste01","0","","0","","BUF","1","1","1998",,,
"320716",":stat_player_game_kick","","","199810110sea","199810110sea_1","Jason Elam","E/elamxjas01","0","","0","","DEN","3","3","1998",,,
"320717",":stat_player_game_kick","","","199809270ram","199809270ram_2","Scott Player","P/PlaySc20","5","53","200","40.0","ARI","","","1998",,,
"320718",":stat_player_game_kick","","","199809270was","199809270was_2","Tom Rouen","R/rouentom01","5","53","249","49.8","DEN","","","1998",,,
"320719",":stat_player_game_kick","","","199809130mia","199809130mia_2","Chris Mohr","M/MohrCh20","8","56","367","45.9","BUF","","","1998",,,
"320720",":stat_player_game_kick","","","199810110sea","199810110sea_2","Tom Rouen","R/rouentom01","7","61","320","45.7","DEN","","","1998",,,
"320721",":stat_player_game_kick","2","1","199809270ram","199809270ram_3","Jeff Wilkins","W/wilkijef01","0","","0","","STL","2","2","1998",,,
"320722",":stat_player_game_kick","2","1","199809270was","199809270was_3","Cary Blanchard","B/blanccar01","0","","0","","WAS","1","1","1998",,,
"320723",":stat_player_game_kick","2","2","199809130mia","199809130mia_3","Olindo Mare","M/marexoli01","0","","0","","MIA","1","1","1998",,,
"320724",":stat_player_game_kick","1","1","199810110sea","199810110sea_3","Todd Peterson","P/petertod01","0","","0","","SEA","1","1","1998",,,
"320725",":stat_player_game_kick","","","199809270ram","199809270ram_4","Rick Tuten","T/TuteRi20","8","51","308","38.5","STL","","","1998",,,
"320726",":stat_player_game_kick","1","","199809130nor","199809130nor_1","John Kasay","K/kasayjoh01","0","","0","","CAR","2","2","1998",,,
"320727",":stat_player_game_kick","2","2","199810110nyg","199810110nyg_1","Morten Andersen","A/andermor01","0","","0","","ATL","4","4","1998",,,
"320728",":stat_player_game_kick","","","199809270was","199809270was_4","Matt Turk","T/TurkMa20","4","69","212","53.0","WAS","","","1998",,,
"320729",":stat_player_game_kick","2","1","199809210nyg","199809210nyg_1","Richie Cunningham","C/cunniric01","0","","0","","DAL","4","4","1998",,,
"320730",":stat_player_game_kick","2","","199809130det","199809130det_1","Doug Pelfrey","P/pelfrdou01","0","","0","","CIN","4","4","1998",,,
"320731",":stat_player_game_kick","","","199809270sfo","199809270sfo_1","Morten Andersen","A/andermor01","0","","0","","ATL","3","2","1998",,,
"320732",":stat_player_game_kick","","","199809130mia","199809130mia_4","Klaus Wilmsmeyer","W/WilmKl20","8","54","358","44.8","MIA","","","1998",,,
"320733",":stat_player_game_kick","","","199810110sea","199810110sea_4","Jeff Feagles","F/FeagJe20","9","58","446","49.6","SEA","","","1998",,,
"320735",":stat_player_game_kick","2","1","199810040atl","199810040atl_1","John Kasay","K/kasayjoh01","0","","0","","CAR","1","","1998",,,
"320736",":stat_player_game_kick","","","199809130det","199809130det_2","Lee Johnson","J/johnslee01","7","60","337","48.1","CIN","","","1998",,,
"320737",":stat_player_game_kick","","","199810110nyg","199810110nyg_2","Dan Stryzinski","S/StryDa20","6","43","206","34.3","ATL","","","1998",,,
"320740",":stat_player_game_kick","","","199809130nor","199809130nor_2","Ken Walter","W/WaltKe20","4","55","184","46.0","CAR","","","1998",,,
"320742",":stat_player_game_kick","","","199809270sfo","199809270sfo_2","Dan Stryzinski","S/StryDa20","7","52","280","40.0","ATL","","","1998",,,
"320744",":stat_player_game_kick","","","199809210nyg","199809210nyg_2","Toby Gowin","G/gowintob01","9","59","389","43.2","DAL","","","1998",,,
"320745",":stat_player_game_kick","","","199810040atl","199810040atl_2","Ken Walter","W/WaltKe20","4","53","137","34.3","CAR","","","1998",,,
"320747",":stat_player_game_kick","","","199809130det","199809130det_3","Jason Hanson","H/hansojas01","0","","0","","DET","4","4","1998",,,
"320750",":stat_player_game_kick","2","2","199809130nor","199809130nor_3","Doug Brien","B/briendou01","0","","0","","NOR","1","1","1998",,,
"320752",":stat_player_game_kick","2","2","199810110nyg","199810110nyg_3","Brad Daluiso","D/daluibra01","0","","0","","NYG","2","2","1998",,,
"320753",":stat_player_game_kick","2","1","199809270sfo","199809270sfo_3","Wade Richey","R/richewad01","0","","0","","SFO","4","4","1998",,,
"320754",":stat_player_game_kick","","","199809210nyg","199809210nyg_3","Brad Daluiso","D/daluibra01","0","","0","","NYG","1","1","1998",,,
"320755",":stat_player_game_kick","3","3","199810040atl","199810040atl_3","Morten Andersen","A/andermor01","0","","0","","ATL","6","6","1998",,,
"320756",":stat_player_game_kick","","","199809130det","199809130det_4","John Jett","J/JettJo21","7","56","326","46.6","DET","","","1998",,,
"320760",":stat_player_game_kick","","","199809130nor","199809130nor_4","Mark Royals","R/RoyaMa20","6","52","278","46.3","NOR","","","1998",,,
"320761",":stat_player_game_kick","","","199810110nyg","199810110nyg_4","Brad Maynard","M/MaynBr20","7","58","343","49.0","NYG","","","1998",,,
"320762",":stat_player_game_kick","","","199809270sfo","199809270sfo_4","Reggie Roby","R/RobyRe20","5","55","230","46.0","SFO","","","1998",,,
"320763",":stat_player_game_kick","","","199809210nyg","199809210nyg_4","Brad Maynard","M/MaynBr20","10","56","438","43.8","NYG","","","1998",,,
"320764",":stat_player_game_kick","","","199810040atl","199810040atl_4","Dan Stryzinski","S/StryDa20","4","43","155","38.8","ATL","","","1998",,,
"320792",":stat_player_game_kick","","","199810250nyj","199810250nyj_1","Dan Stryzinski","S/StryDa20","5","46","205","41.0","ATL","","","1998",,,
"320793",":stat_player_game_kick","1","1","199810040was","199810040was_1","Richie Cunningham","C/cunniric01","0","","0","","DAL","4","4","1998",,,
"320794",":stat_player_game_kick","1","1","199810250nyj","199810250nyj_2","Morten Andersen","A/andermor01","0","","0","","ATL","","","1998",,,
"320795",":stat_player_game_kick","2","1","199810110clt","199810110clt_1","Steve Christie","C/chrisste01","0","","0","","BUF","4","4","1998",,,
"320796",":stat_player_game_kick","2","2","199811010cin","199811010cin_1","Jason Elam","E/elamxjas01","0","","0","","DEN","3","3","1998",,,
"320797",":stat_player_game_kick","","","199810040was","199810040was_2","Toby Gowin","G/gowintob01","4","60","192","48.0","DAL","","","1998",,,
"320798",":stat_player_game_kick","","","199810180chi","199810180chi_1","Toby Gowin","G/gowintob01","7","65","312","44.6","DAL","","","1998",,,
"320799",":stat_player_game_kick","","","199810110crd","199810110crd_1","Jeff Jaeger","J/jaegejef01","0","","0","","CHI","1","1","1998",,,
"320800",":stat_player_game_kick","","","199810180pit","199810180pit_1","Kyle Richardson","R/RichKy20","6","54","286","47.7","BAL","","","1998",,,
"320801",":stat_player_game_kick","3","2","199810180tam","199810180tam_1","John Kasay","K/kasayjoh01","0","","0","","CAR","1","1","1998",,,
"320802",":stat_player_game_kick","1","1","199809270rav","199809270rav_1","Doug Pelfrey","P/pelfrdou01","0","","0","","CIN","3","3","1998",,,
"320803",":stat_player_game_kick","","","199810110clt","199810110clt_2","Chris Mohr","M/MohrCh20","4","47","133","33.3","BUF","","","1998",,,
"320804",":stat_player_game_kick","","","199810250nyj","199810250nyj_3","John Hall","H/hallxjoh01","0","","0","","NYJ","4","4","1998",,,
"320805",":stat_player_game_kick","","","199810110dal","199810110dal_1","John Kasay","K/kasayjoh01","0","","0","","CAR","3","2","1998",,,
"320806",":stat_player_game_kick","","","199811010cin","199811010cin_2","Tom Rouen","R/rouentom01","3","52","140","46.7","DEN","","","1998",,,
"320807",":stat_player_game_kick","1","1","199810040was","199810040was_3","Cary Blanchard","B/blanccar01","0","","0","","WAS","1","1","1998",,,
"320808",":stat_player_game_kick","","","199810110crd","199810110crd_2","Mike Horan","H/HoraMi20","5","52","236","47.2","CHI","","","1998",,,
"320809",":stat_player_game_kick","2","2","199810180chi","199810180chi_2","Richie Cunningham","C/cunniric01","0","","0","","DAL","","","1998",,,
"320810",":stat_player_game_kick","2","2","199810180pit","199810180pit_2","Matt Stover","S/stovemat01","0","","0","","BAL","","","1998",,,
"320811",":stat_player_game_kick","","","199810180tam","199810180tam_2","Ken Walter","W/WaltKe20","5","41","181","36.2","CAR","","","1998",,,
"320812",":stat_player_game_kick","","","199810110clt","199810110clt_3","Chris Gardocki","G/GardCh20","3","42","115","38.3","IND","","","1998",,,
"320813",":stat_player_game_kick","","","199810110dal","199810110dal_2","Ken Walter","W/WaltKe20","4","45","167","41.8","CAR","","","1998",,,
"320814",":stat_player_game_kick","","","199810250nyj","199810250nyj_4","Brian Hansen","H/HansBr20","5","41","164","32.8","NYJ","","","1998",,,
"320815",":stat_player_game_kick","","","199811010cin","199811010cin_3","Lee Johnson","J/johnslee01","2","48","73","36.5","CIN","","","1998",,,
"320816",":stat_player_game_kick","","","199809270rav","199809270rav_2","Lee Johnson","J/johnslee01","5","53","213","42.6","CIN","","","1998",,,
