"_id","_labels","age","av_career","av_team","college","first_tap","games","int","label","pass_att","pass_cmp","pass_int","pass_td","pass_yd","pick","player","pos","pro_bowl","rec","rec_td","rec_yd","round","rush_att","rush_td","rush_yd","sack","solo","starter","tag","team","url_college","url_college_stats","url_player","year","year_max","_start","_end","_type"
"212739",":picks","22","73","73","Ohio St.","2","164","","2006_28","0","0","0","0","0","29","Nick Mangold","C","7","1","0","-3","1","0","0","0","","1","11","nyj","New York Jets","https://www.pro-football-reference.com/schools/ohiost/","","/players/M/MangNi20.htm","2006","2016",,,
"212740",":picks","23","50","50","LSU","0","78","","2006_29","1","1","0","1","22","30","Joseph Addai","RB","1","191","9","1448","1","1095","39","4453","","","4","clt","Indianapolis Colts","https://www.pro-football-reference.com/schools/lsu/","http://www.sports-reference.com/cfb/players/joseph-addai-1.html","/players/A/AddaJo00.htm","2006","2011",,,
"212741",":picks","23","18","17","Miami (FL)","0","91","2","2006_30","0","0","0","0","0","31","Kelly Jennings","DB","0","0","0","0","1","0","0","0","1.0","211","2","sea","Seattle Seahawks","https://www.pro-football-reference.com/schools/miami(fl)/","http://www.sports-reference.com/cfb/players/kelly-jennings-1.html","/players/J/JennKe20.htm","2006","2011",,,
"212742",":picks","23","37","37","Boston Col.","0","120","3","2006_31","0","0","0","0","0","32","Mathias Kiwanuka","DE","0","0","0","0","1","0","0","0","38.5","301","5","nyg","New York Giants","https://www.pro-football-reference.com/schools/bostoncol/","http://www.sports-reference.com/cfb/players/mathias-kiwanuka-1.html","/players/K/KiwaMa20.htm","2006","2014",,,
"212743",":picks","22","58","39","Alabama","0","140","7","2006_32","0","0","0","0","0","33","DeMeco Ryans ","LB","2","0","0","0","2","0","0","0","13.5","735","8","htx","Houston Texans","https://www.pro-football-reference.com/schools/alabama/","http://www.sports-reference.com/cfb/players/demeco-ryans-1.html","/players/R/RyanDe20.htm","2006","2015",,,
"212744",":picks","22","61","40","Maryland","0","141","9","2006_33","0","0","0","0","0","34","D'Qwell Jackson","LB","1","0","0","0","2","0","0","0","19.5","754","9","cle","Cleveland Browns","https://www.pro-football-reference.com/schools/maryland/","http://www.sports-reference.com/cfb/players/dqwell-jackson-1.html","/players/J/JackDQ20.htm","2006","2016",,,
"212745",":picks","23","38","33","Miami (FL)","0","124","4","2006_34","0","0","0","0","0","35","Rocky McIntosh","LB","0","0","0","0","2","0","0","0","9.0","371","5","was","Washington Redskins","https://www.pro-football-reference.com/schools/miami(fl)/","","/players/M/McInRo20.htm","2006","2013",,,
"212746",":picks","21","2","2","Florida","0","18","","2006_35","0","0","0","0","0","36","Chad Jackson","WR","0","14","3","171","2","4","0","22","","","0","nwe","New England Patriots","https://www.pro-football-reference.com/schools/florida/","http://www.sports-reference.com/cfb/players/chad-jackson-1.html","/players/J/JackCh00.htm","2006","2008",,,
"212747",":picks","22","5","5","Virginia Tech","0","27","1","2006_36","0","0","0","0","0","37","Jimmy Williams","DB","0","0","0","0","2","0","0","0","","41","0","atl","Atlanta Falcons","https://www.pro-football-reference.com/schools/virginiatech/","http://www.sports-reference.com/cfb/players/jimmy-williams-2.html","/players/W/WillJi23.htm","2006","2007",,,
"212748",":picks","23","33","25","Texas-El Paso","0","95","7","2006_37","0","0","0","0","0","38","Thomas Howard","LB","0","0","0","0","2","0","0","0","6.0","392","5","rai","Oakland Raiders","https://www.pro-football-reference.com/schools/texaselpaso/","http://www.sports-reference.com/cfb/players/thomas-howard-2.html","/players/H/HowaTh20.htm","2006","2013",,,
"212749",":picks","21","21","16","USC","0","63","","2006_38","0","0","0","0","0","39","Winston Justice","T","0","0","0","0","2","0","0","0","","","3","phi","Philadelphia Eagles","https://www.pro-football-reference.com/schools/usc/","http://www.sports-reference.com/cfb/players/winston-justice-1.html","/players/J/JustWi20.htm","2006","2013",,,
"212750",":picks","23","7","7","Nebraska","0","31","","2006_39","0","0","0","0","0","40","Daniel Bullocks","DB","0","0","0","0","2","0","0","0","1.0","119","1","det","Detroit Lions","https://www.pro-football-reference.com/schools/nebraska/","http://www.sports-reference.com/cfb/players/daniel-bullocks-1.html","/players/B/BullDa20.htm","2006","2008",,,
"212751",":picks","23","34","32","USC","0","101","","2006_40","0","0","0","0","0","41","Deuce Lutui","G","0","0","0","0","2","0","0","0","","","5","crd","Arizona Cardinals","https://www.pro-football-reference.com/schools/usc/","","/players/L/LutuDe20.htm","2006","2012",,,
"212752",":picks","24","35","21","Abilene Christian","0","128","11","2006_41","0","0","0","0","0","42","Danieal Manning","DB","0","0","0","0","2","0","0","0","4.0","435","6","chi","Chicago Bears","https://www.pro-football-reference.com/schools/abilenechristian/","","/players/M/MannDa21.htm","2006","2014",,,
"212753",":picks","23","49","40","Alabama","0","156","11","2006_42","0","0","0","0","0","43","Roman Harper","DB","2","0","0","0","2","0","0","0","18.0","641","8","nor","New Orleans Saints","https://www.pro-football-reference.com/schools/alabama/","http://www.sports-reference.com/cfb/players/roman-harper-1.html","/players/H/HarpRo21.htm","2006","2016",,,
"212754",":picks","22","4","4","Miami (FL)","0","37","","2006_43","0","0","0","0","0","44","Sinorice Moss","WR","0","39","3","421","2","1","0","4","","2","0","nyg","New York Giants","https://www.pro-football-reference.com/schools/miami(fl)/","http://www.sports-reference.com/cfb/players/sinorice-moss-1.html","/players/M/MossSi00.htm","2006","2009",,,
"212755",":picks","21","14","14","USC","0","58","","2006_44","0","0","0","0","0","45","LenDale White","RB","0","42","0","204","2","628","24","2349","","","1","oti","Tennessee Titans","https://www.pro-football-reference.com/schools/usc/","http://www.sports-reference.com/cfb/players/lendale-white-1.html","/players/W/WhitLe01.htm","2006","2009",,,
"212756",":picks","22","3","3","Colorado","0","49","","2006_45","0","0","0","0","0","46","Joe Klopfenstein","TE","0","34","2","397","2","0","0","0","","","3","ram","St. Louis Rams","https://www.pro-football-reference.com/schools/colorado/","http://www.sports-reference.com/cfb/players/joe-klopfenstein-1.html","/players/K/KlopJo00.htm","2006","2009",,,
"212757",":picks","24","57","38","Boise St.","0","141","","2006_46","0","0","0","0","0","47","Daryn Colledge","T","0","0","0","0","2","0","0","0","","","9","gnb","Green Bay Packers","https://www.pro-football-reference.com/schools/boisest/","","/players/C/CollDa20.htm","2006","2014",,,
"212758",":picks","23","23","23","Texas","0","89","8","2006_47","0","0","0","0","0","48","Cedric Griffin","DB","0","0","0","0","2","0","0","0","","352","4","min","Minnesota Vikings","https://www.pro-football-reference.com/schools/texas/","http://www.sports-reference.com/cfb/players/cedric-griffin-1.html","/players/G/GrifCe20.htm","2006","2012",,,
"212759",":picks","23","10","3","Oregon","0","64","","2006_48","638","350","21","16","4053","49","Kellen Clemens","QB","0","0","0","0","2","85","3","227","","1","2","nyj","New York Jets","https://www.pro-football-reference.com/schools/oregon/","http://www.sports-reference.com/cfb/players/kellen-clemens-1.html","/players/C/ClemKe00.htm","2006","2017",,,
"212760",":picks","22","48","48","Auburn","0","82","","2006_49","0","0","0","0","0","50","Marcus McNeill","T","2","0","0","0","2","0","0","0","","","6","sdg","San Diego Chargers","https://www.pro-football-reference.com/schools/auburn/","http://www.sports-reference.com/cfb/players/marcus-mcneill-1.html","/players/M/McNeMa20.htm","2006","2011",,,
"212761",":picks","23","23","17","New Mexico","0","90","","2006_50","0","0","0","0","0","51","Ryan Cook","C","0","0","0","0","2","0","0","0","","","3","min","Minnesota Vikings","https://www.pro-football-reference.com/schools/newmexico/","","/players/C/CookRy20.htm","2006","2012",,,
"212762",":picks","22","66","55","Western Michigan","0","143","","2006_51","0","0","0","0","0","52","Greg Jennings","WR","2","571","64","8291","2","1","0","-1","","","8","gnb","Green Bay Packers","https://www.pro-football-reference.com/schools/westmichigan/","http://www.sports-reference.com/cfb/players/greg-jennings-1.html","/players/J/JennGr00.htm","2006","2015",,,
"212763",":picks","22","22","2","Notre Dame","0","180","","2006_52","0","0","0","0","0","53","Anthony Fasano","TE","0","299","36","3278","2","0","0","0","","","8","dal","Dallas Cowboys","https://www.pro-football-reference.com/schools/notredame/","http://www.sports-reference.com/cfb/players/anthony-fasano-1.html","/players/F/FasaAn00.htm","2006","2017",,,
"212764",":picks","21","34","11","Purdue","0","126","12","2006_53","0","0","0","0","0","54","Bernard Pollard","DB","0","0","0","0","2","0","0","0","10.5","553","7","kan","Kansas City Chiefs","https://www.pro-football-reference.com/schools/purdue/","http://www.sports-reference.com/cfb/players/bernard-pollard-1.html","/players/P/PollBe20.htm","2006","2014",,,
"212765",":picks","24","100","66","LSU","2","239","","2006_54","0","0","0","0","0","55","Andrew Whitworth","T","4","1","1","1","2","0","0","0","","","16","cin","Cincinnati Bengals","https://www.pro-football-reference.com/schools/lsu/","","/players/W/WhitAn20.htm","2006","2021",,,
"212766",":picks","23","59","18","Oklahoma","0","169","","2006_55","0","0","0","0","0","56","Chris Chester","G","0","0","0","0","2","0","0","0","","3","9","rav","Baltimore Ravens","https://www.pro-football-reference.com/schools/oklahoma/","http://www.sports-reference.com/cfb/players/chris-chester-1.html","/players/C/ChesCh21.htm","2006","2016",,,
"212767",":picks","23","47","43","Miami (FL)","3","156","","2006_56","0","0","0","0","0","57","Devin Hester","DB","4","255","16","3311","2","36","1","116","","11","3","chi","Chicago Bears","https://www.pro-football-reference.com/schools/miami(fl)/","http://www.sports-reference.com/cfb/players/devin-hester-1.html","/players/H/HestDe99.htm","2006","2016",,,
"212768",":picks","21","31","23","Fresno St.","0","124","18","2006_57","0","0","0","0","0","58","Richard Marshall","DB","0","0","0","0","2","0","0","0","7.0","526","3","car","Carolina Panthers","https://www.pro-football-reference.com/schools/fresnost/","http://www.sports-reference.com/cfb/players/richard-marshall-1.html","/players/M/MarsRi20.htm","2006","2014",,,
"212769",":picks","23","35","31","Boston Col.","0","116","","2006_58","0","0","0","0","0","59","Jeremy Trueblood","T","0","0","0","0","2","0","0","0","","1","6","tam","Tampa Bay Buccaneers","https://www.pro-football-reference.com/schools/bostoncol/","","/players/T/TrueJe20.htm","2006","2013",,,
"212770",":picks","21","74","73","UCLA","1","126","","2006_59","2","1","1","1","8","60","Maurice Jones-Drew","RB","3","346","11","2944","2","1847","68","8167","","","4","jax","Jacksonville Jaguars","https://www.pro-football-reference.com/schools/ucla/","http://www.sports-reference.com/cfb/players/maurice-drew-1.html","/players/D/DrewMa00.htm","2006","2014",,,
"212771",":picks","23","24","16","Western Michigan","0","107","1","2006_60","0","0","0","0","0","61","Tony Scheffler","TE","0","258","22","3207","2","3","0","7","","3","2","den","Denver Broncos","https://www.pro-football-reference.com/schools/westmichigan/","http://www.sports-reference.com/cfb/players/tony-scheffler-1.html","/players/S/ScheTo00.htm","2006","2013",,,
"212772",":picks","22","43","9","Georgia","0","137","20","2006_61","0","0","0","0","0","62","Tim Jennings","DB","2","0","0","0","2","0","0","0","","396","6","clt","Indianapolis Colts","https://www.pro-football-reference.com/schools/georgia/","http://www.sports-reference.com/cfb/players/tim-jennings-1.html","/players/J/JennTi20.htm","2006","2015",,,
"212773",":picks","21","30","21","Virginia Tech","0","165","2","2006_62","0","0","0","0","0","63","Darryl Tapp","DE","0","0","0","0","2","0","0","0","29.0","262","2","sea","Seattle Seahawks","https://www.pro-football-reference.com/schools/virginiatech/","http://www.sports-reference.com/cfb/players/darryl-tapp-1.html","/players/T/TappDa20.htm","2006","2017",,,
"212774",":picks","23","22","13","Alabama St.","0","59","","2006_63","1073","640","35","39","7263","64","Tarvaris Jackson","QB","0","0","0","0","2","171","6","636","","","2","min","Minnesota Vikings","https://www.pro-football-reference.com/schools/alabamast/","http://www.sports-reference.com/cfb/players/tarvaris-jackson-1.html","/players/J/JackTa00.htm","2006","2015",,,
"212775",":picks","24","1","1","Pittsburgh","0","2","","2006_64","0","0","0","0","0","65","Charles Spencer","G","0","0","0","0","3","0","0","0","","","0","htx","Houston Texans","https://www.pro-football-reference.com/schools/pittsburgh/","","/players/S/SpenCh20.htm","2006","2006",,,
"212776",":picks","22","53","41","Miami (FL)","0","165","","2006_65","0","0","0","0","0","66","Eric Winston","T","0","0","0","0","3","0","0","0","","","7","htx","Houston Texans","https://www.pro-football-reference.com/schools/miami(fl)/","http://www.sports-reference.com/cfb/players/eric-winston-1.html","/players/W/WinsEr20.htm","2006","2017",,,
"212777",":picks","23","2","1","Iowa","0","35","","2006_66","0","0","0","0","0","67","Abdul Hodge","LB","0","0","0","0","3","0","0","0","","25","0","gnb","Green Bay Packers","https://www.pro-football-reference.com/schools/iowa/","http://www.sports-reference.com/cfb/players/abdul-hodge-1.html","/players/H/HodgAb20.htm","2006","2010",,,
"212778",":picks","22","2","2","LSU","0","26","","2006_67","0","0","0","0","0","68","Claude Wroten","DT","0","0","0","0","3","0","0","0","1.5","21","0","ram","St. Louis Rams","https://www.pro-football-reference.com/schools/lsu/","http://www.sports-reference.com/cfb/players/claude-wroten-1.html","/players/W/WrotCl20.htm","2006","2007",,,
"212779",":picks","23","24","4","Weber St.","0","97","","2006_68","0","0","0","0","0","69","Paul McQuistan","T","0","0","0","0","3","0","0","0","","","2","rai","Oakland Raiders","https://www.pro-football-reference.com/schools/weberst/","","/players/M/McQuPa21.htm","2006","2014",,,
"212780",":picks","22","8","5","Ohio St.","0","49","2","2006_69","0","0","0","0","0","70","Ashton Youboty","DB","0","0","0","0","3","0","0","0","2.0","73","0","buf","Buffalo Bills","https://www.pro-football-reference.com/schools/ohiost/","http://www.sports-reference.com/cfb/players/ashton-youboty-1.html","/players/Y/YoubAs20.htm","2006","2011",,,
"212781",":picks","22","29","15","Cal Poly-San Luis Obispo","0","79","","2006_70","0","0","0","0","0","71","Chris Gocong","DE","0","0","0","0","3","0","0","0","9.5","228","5","phi","Philadelphia Eagles","https://www.pro-football-reference.com/schools/calpolysanluisobispo/","","/players/G/GocoCh99.htm","2006","2011",,,
"212782",":picks","22","6","4","Georgia","0","103","","2006_71","0","0","0","0","0","72","Leonard Pope","TE","0","105","11","982","3","0","0","0","","","4","crd","Arizona Cardinals","https://www.pro-football-reference.com/schools/georgia/","http://www.sports-reference.com/cfb/players/leonard-pope-1.html","/players/P/PopeLe00.htm","2006","2012",,,
"212783",":picks","25","6","6","Oklahoma","0","13","","2006_72","0","0","0","0","0","73","Dusty Dvoracek","DT","0","0","0","0","3","0","0","0","","24","1","chi","Chicago Bears","https://www.pro-football-reference.com/schools/oklahoma/","http://www.sports-reference.com/cfb/players/dusty-dvoracek-1.html","/players/D/DvorDu99.htm","2006","2008",,,
"212784",":picks","22","1","1","Wisconsin","0","11","","2006_73","0","0","0","0","0","74","Brian Calhoun","RB","0","7","0","55","3","14","0","54","","1","0","det","Detroit Lions","https://www.pro-football-reference.com/schools/wisconsin/","http://www.sports-reference.com/cfb/players/brian-calhoun-1.html","/players/C/CalhBr00.htm","2006","2007",,,
"212785",":picks","23","24","24","Louisville","0","75","","2006_74","0","0","0","0","0","75","Jason Spitz","G","0","0","0","0","3","0","0","0","","","3","gnb","Green Bay Packers","https://www.pro-football-reference.com/schools/louisville/","http://www.sports-reference.com/cfb/players/jason-spitz-1.html","/players/S/SpitJa20.htm","2006","2011",,,
"212786",":picks","25","2","0","Ohio St.","0","17","","2006_75","0","0","0","0","0","76","Anthony Schlegel","LB","0","0","0","0","3","0","0","0","","21","0","nyj","New York Jets","https://www.pro-football-reference.com/schools/ohiost/","http://www.sports-reference.com/cfb/players/anthony-schlegel-2.html","/players/S/SchlAn20.htm","2006","2007",,,
"212787",":picks","23","5","0","Stanford","0","39","","2006_76","0","0","0","0","0","77","Jon Alston","LB","0","0","0","0","3","1","0","22","","51","0","ram","St. Louis Rams","https://www.pro-football-reference.com/schools/stanford/","http://www.sports-reference.com/cfb/players/jon-alston-1.html","/players/A/AlstJo20.htm","2006","2009",,,
"212788",":picks","22","0","0","Oklahoma","0","4","","2006_77","0","0","0","0","0","78","Travis Wilson","WR","0","2","0","32","3","0","0","0","","","0","cle","Cleveland Browns","https://www.pro-football-reference.com/schools/oklahoma/","http://www.sports-reference.com/cfb/players/travis-wilson-2.html","/players/W/WilsTr00.htm","2006","2006",,,
"212789",":picks","23","20","20","Mississippi St.","0","66","","2006_78","2","0","1","0","0","79","Jerious Norwood","RB","0","96","3","912","3","399","7","2056","","6","0","atl","Atlanta Falcons","https://www.pro-football-reference.com/schools/mississippist/","http://www.sports-reference.com/cfb/players/jerious-norwood-1.html","/players/N/NorwJe00.htm","2006","2011",,,
"212790",":picks","23","21","21","Oklahoma","0","56","2","2006_79","0","0","0","0","0","80","Clint Ingram","LB","0","0","0","0","3","0","0","0","5.5","158","3","jax","Jacksonville Jaguars","https://www.pro-football-reference.com/schools/oklahoma/","http://www.sports-reference.com/cfb/players/clint-ingram-1.html","/players/I/IngrCl20.htm","2006","2009",,,
"212791",":picks","24","7","0","Clemson","0","26","","2006_80","396","219","8","11","2463","81","Charlie Whitehurst","QB","0","0","0","10","3","56","2","156","","","0","sdg","San Diego Chargers","https://www.pro-football-reference.com/schools/clemson/","http://www.sports-reference.com/cfb/players/charlie-whitehurst-1.html","/players/W/WhitCh02.htm","2006","2016",,,
"212792",":picks","21","12","5","Arizona St.","0","99","","2006_81","0","0","0","0","0","82","Derek Hagan","WR","0","148","7","1734","3","0","0","0","","19","0","mia","Miami Dolphins","https://www.pro-football-reference.com/schools/arizonast/","http://www.sports-reference.com/cfb/players/derek-hagan-1.html","/players/H/HagaDe00.htm","2006","2014",,,
"212793",":picks","22","12","9","Syracuse","0","76","7","2006_82","0","0","0","0","0","83","Anthony Smith","DB","0","0","0","0","3","0","0","0","","146","1","pit","Pittsburgh Steelers","https://www.pro-football-reference.com/schools/syracuse/","http://www.sports-reference.com/cfb/players/anthony-smith-1.html","/players/S/SmitAn21.htm","2006","2011",,,
"212794",":picks","22","0","0","Wisconsin","0","23","","2006_83","0","0","0","0","0","84","Brandon Williams","WR","0","0","0","0","3","0","0","0","","2","0","sfo","San Francisco 49ers","https://www.pro-football-reference.com/schools/wisconsin/","http://www.sports-reference.com/cfb/players/brandon-williams-6.html","/players/W/WillBr01.htm","2006","2007",,,
"212795",":picks","23","2","2","Alabama","0","18","","2006_84","319","181","9","8","1669","85","Brodie Croyle","QB","0","0","0","0","3","10","0","15","","","0","kan","Kansas City Chiefs","https://www.pro-football-reference.com/schools/alabama/","http://www.sports-reference.com/cfb/players/brodie-croyle-1.html","/players/C/CroyBr00.htm","2006","2010",,,
"212796",":picks","23","9","3","Texas","0","80","","2006_85","0","0","0","0","0","86","David Thomas","TE","0","102","8","938","3","0","0","0","","1","3","nwe","New England Patriots","https://www.pro-football-reference.com/schools/texas/","http://www.sports-reference.com/cfb/players/david-thomas-1.html","/players/T/ThomDa02.htm","2006","2012",,,
