"_id","_labels","age","av_career","av_team","college","first_tap","games","int","label","pass_att","pass_cmp","pass_int","pass_td","pass_yd","pick","player","pos","pro_bowl","rec","rec_td","rec_yd","round","rush_att","rush_td","rush_yd","sack","solo","starter","tag","team","url_college","url_college_stats","url_player","year","year_max","_start","_end","_type"
"212712",":picks","21","79","36","North Carolina St.","1","158","","2006_1","0","0","0","0","0","1","Mario Williams","DE","4","0","0","0","1","0","0","0","97.5","317","9","htx","Houston Texans","https://www.pro-football-reference.com/schools/nocarolinast/","http://www.sports-reference.com/cfb/players/mario-williams-1.html","/players/W/WillMa22.htm","2006","2016",,,
"212713",":picks","21","61","34","USC","0","134","","2006_2","1","0","1","0","0","2","Reggie Bush","RB","0","477","18","3598","1","1286","36","5490","","","8","nor","New Orleans Saints","https://www.pro-football-reference.com/schools/usc/","http://www.sports-reference.com/cfb/players/reggie-bush-1.html","/players/B/BushRe00.htm","2006","2016",,,
"212714",":picks","23","33","31","Texas","0","60","","2006_3","1304","755","51","46","8964","3","Vince Young","QB","2","0","0","0","1","282","12","1459","","","4","oti","Tennessee Titans","https://www.pro-football-reference.com/schools/texas/","http://www.sports-reference.com/cfb/players/vince-young-1.html","/players/Y/YounVi00.htm","2006","2011",,,
"212715",":picks","22","58","58","Virginia","0","160","","2006_4","0","0","0","0","0","4","D'Brickashaw Ferguson","T","3","0","0","0","1","0","0","0","","","10","nyj","New York Jets","https://www.pro-football-reference.com/schools/virginia/","","/players/F/FergDB20.htm","2006","2015",,,
"212716",":picks","22","51","42","Maryland","0","198","","2006_5","0","0","0","0","0","6","Vernon Davis","TE","2","583","63","7562","1","6","0","15","","","11","sfo","San Francisco 49ers","https://www.pro-football-reference.com/schools/maryland/","http://www.sports-reference.com/cfb/players/vernon-davis-1.html","/players/D/DaviVe00.htm","2006","2019",,,
"212717",":picks","23","33","33","Texas","0","118","11","2006_6","0","0","0","0","0","7","Michael Huff","DB","0","0","0","0","1","0","0","0","5.5","371","6","rai","Oakland Raiders","https://www.pro-football-reference.com/schools/texas/","http://www.sports-reference.com/cfb/players/michael-huff-1.html","/players/H/HuffMi20.htm","2006","2013",,,
"212718",":picks","21","47","19","Ohio St.","0","157","11","2006_7","0","0","0","0","0","8","Donte Whitner","DB","2","0","0","0","1","0","0","0","3.0","668","10","buf","Buffalo Bills","https://www.pro-football-reference.com/schools/ohiost/","http://www.sports-reference.com/cfb/players/donte-whitner-1.html","/players/W/WhitDo20.htm","2006","2016",,,
"212719",":picks","21","29","18","Florida St.","0","109","1","2006_8","0","0","0","0","0","9","Ernie Sims","LB","0","0","0","0","1","0","0","0","5.5","420","4","det","Detroit Lions","https://www.pro-football-reference.com/schools/floridast/","http://www.sports-reference.com/cfb/players/ernie-sims-1.html","/players/S/SimsEr20.htm","2006","2013",,,
"212720",":picks","23","12","12","USC","0","33","","2006_9","641","366","21","15","4065","10","Matt Leinart","QB","0","0","0","0","1","47","2","89","","","1","crd","Arizona Cardinals","https://www.pro-football-reference.com/schools/usc/","http://www.sports-reference.com/cfb/players/matt-leinart-1.html","/players/L/LeinMa00.htm","2006","2012",,,
"212721",":picks","23","86","28","Vanderbilt","0","153","","2006_10","4920","3048","160","227","35133","11","Jay Cutler","QB","1","0","0","0","1","386","9","1682","","1","10","den","Denver Broncos","https://www.pro-football-reference.com/schools/vanderbilt/","http://www.sports-reference.com/cfb/players/jay-cutler-1.html","/players/C/CutlJa00.htm","2006","2017",,,
"212722",":picks","22","100","92","Oregon","2","180","5","2006_11","0","0","0","0","0","12","Haloti Ngata","DT","5","0","0","0","1","0","0","0","32.5","329","12","rav","Baltimore Ravens","https://www.pro-football-reference.com/schools/oregon/","http://www.sports-reference.com/cfb/players/haloti-ngata-1.html","/players/N/NgatHa20.htm","2006","2018",,,
"212723",":picks","22","44","24","Florida St.","0","140","2","2006_12","0","0","0","0","0","13","Kamerion Wimbley","DE","0","0","0","0","1","0","0","0","53.5","322","8","cle","Cleveland Browns","https://www.pro-football-reference.com/schools/floridast/","http://www.sports-reference.com/cfb/players/kamerion-wimbley-1.html","/players/W/WimbKa20.htm","2006","2014",,,
"212724",":picks","22","40","25","Florida St.","0","130","","2006_13","0","0","0","0","0","14","Brodrick Bunkley","DT","0","0","0","0","1","0","0","0","8.5","171","7","phi","Philadelphia Eagles","https://www.pro-football-reference.com/schools/floridast/","http://www.sports-reference.com/cfb/players/brodrick-bunkley-1.html","/players/B/BunkBr20.htm","2006","2014",,,
"212725",":picks","24","9","7","Clemson","0","40","5","2006_14","0","0","0","0","0","15","Tye Hill","DB","0","0","0","0","1","0","0","0","","117","0","ram","St. Louis Rams","https://www.pro-football-reference.com/schools/clemson/","http://www.sports-reference.com/cfb/players/tye-hill-1.html","/players/H/HillTy20.htm","2006","2010",,,
"212726",":picks","23","13","9","Tennessee","0","98","15","2006_15","0","0","0","0","0","16","Jason Allen","DB","0","0","0","0","1","0","0","0","","213","1","mia","Miami Dolphins","https://www.pro-football-reference.com/schools/tennessee/","http://www.sports-reference.com/cfb/players/jason-allen-2.html","/players/A/AlleJa23.htm","2006","2012",,,
"212727",":picks","23","66","66","Iowa","0","156","11","2006_16","0","0","0","0","0","17","Chad Greenway","LB","2","0","0","0","1","0","0","0","18.0","762","10","min","Minnesota Vikings","https://www.pro-football-reference.com/schools/iowa/","http://www.sports-reference.com/cfb/players/chad-greenway-1.html","/players/G/GreeCh99.htm","2006","2016",,,
"212728",":picks","23","11","5","Ohio St.","0","93","1","2006_17","0","0","0","0","0","18","Bobby Carpenter","LB","0","0","0","0","1","0","0","0","3.5","126","0","dal","Dallas Cowboys","https://www.pro-football-reference.com/schools/ohiost/","http://www.sports-reference.com/cfb/players/bobby-carpenter-1.html","/players/C/CarpBo20.htm","2006","2012",,,
"212729",":picks","22","66","26","Florida St.","1","162","31","2006_18","0","0","0","0","0","19","Antonio Cromartie","DB","4","1","0","-2","1","1","0","1","","376","8","sdg","San Diego Chargers","https://www.pro-football-reference.com/schools/floridast/","http://www.sports-reference.com/cfb/players/antonio-cromartie-1.html","/players/C/CromAn20.htm","2006","2016",,,
"212730",":picks","22","75","75","Penn St.","0","177","2","2006_19","0","0","0","0","0","20","Tamba Hali","DE","5","0","0","0","1","0","0","0","89.5","460","10","kan","Kansas City Chiefs","https://www.pro-football-reference.com/schools/pennst/","http://www.sports-reference.com/cfb/players/tamba-hali-1.html","/players/H/HaliTa20.htm","2006","2017",,,
"212731",":picks","21","26","25","Minnesota","0","49","","2006_20","0","0","0","0","0","21","Laurence Maroney","RB","0","44","1","459","1","618","21","2504","","1","0","nwe","New England Patriots","https://www.pro-football-reference.com/schools/minnesota/","http://www.sports-reference.com/cfb/players/laurence-maroney-1.html","/players/M/MaroLa00.htm","2006","2010",,,
"212732",":picks","22","47","23","North Carolina St.","0","143","4","2006_21","0","0","0","0","0","22","Manny Lawson","DE","0","0","0","0","1","0","0","0","24.5","352","7","sfo","San Francisco 49ers","https://www.pro-football-reference.com/schools/nocarolinast/","http://www.sports-reference.com/cfb/players/manny-lawson-1.html","/players/L/LawsMa20.htm","2006","2015",,,
"212733",":picks","22","42","38","Oklahoma","0","116","","2006_22","0","0","0","0","0","23","Davin Joseph","G","2","0","0","0","1","0","0","0","","1","8","tam","Tampa Bay Buccaneers","https://www.pro-football-reference.com/schools/oklahoma/","http://www.sports-reference.com/cfb/players/davin-joseph-1.html","/players/J/JoseDa20.htm","2006","2014",,,
"212734",":picks","22","67","19","South Carolina","0","211","32","2006_23","0","0","0","0","0","24","Johnathan Joseph","DB","2","0","0","0","1","0","0","0","","670","15","cin","Cincinnati Bengals","https://www.pro-football-reference.com/schools/socarolina/","","/players/J/JoseJo20.htm","2006","2020",,,
"212735",":picks","22","47","35","Ohio St.","0","112","","2006_24","1","0","1","0","0","25","Santonio Holmes","WR","0","389","36","6030","1","16","0","89","","","6","pit","Pittsburgh Steelers","https://www.pro-football-reference.com/schools/ohiost/","http://www.sports-reference.com/cfb/players/santonio-holmes-1.html","/players/H/HolmSa00.htm","2006","2014",,,
"212736",":picks","23","4","4","North Carolina St.","0","44","","2006_25","0","0","0","0","0","26","John McCargo","DT","0","0","0","0","1","0","0","0","2.5","35","0","buf","Buffalo Bills","https://www.pro-football-reference.com/schools/nocarolinast/","http://www.sports-reference.com/cfb/players/john-mccargo-1.html","/players/M/McCaJo22.htm","2006","2011",,,
"212737",":picks","23","61","51","Memphis","0","142","","2006_26","0","0","0","0","0","27","DeAngelo Williams","RB","1","236","9","2106","1","1730","61","8096","","1","6","car","Carolina Panthers","https://www.pro-football-reference.com/schools/memphis/","http://www.sports-reference.com/cfb/players/deangelo-williams-1.html","/players/W/WillDe02.htm","2006","2016",,,
"212738",":picks","22","35","33","UCLA","0","247","","2006_27","0","0","0","0","0","28","Marcedes Lewis","TE","1","429","38","5038","1","0","0","0","","","14","jax","Jacksonville Jaguars","https://www.pro-football-reference.com/schools/ucla/","http://www.sports-reference.com/cfb/players/marcedes-lewis-1.html","/players/L/LewiMa00.htm","2006","2022",,,
