"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","_start","_end","_type"
"8957",":stat_player_game_return","201909080crd","4","32","0","86","21.5","201909080crd_3","Andy Isabella","I/IsabAn00","0","0","0","0","","ARI",,,
"9950",":stat_player_game_return","201909220sdg","0","0","0","0","","201909220sdg_1","DeAndre Carter","C/CartDe02","2","23","0","34","17.0","HOU",,,
"9958",":stat_player_game_return","201909220sdg","1","23","0","23","23.0","201909220sdg_2","Desmond King","K/KingDe01","2","0","0","-1","-0.5","LAC",,,
"9995",":stat_player_game_return","201909290den","0","0","0","0","","201909290den_1","Dede Westbrook","W/WestDe00","2","5","0","5","2.5","JAX",,,
"10002",":stat_player_game_return","201909290den","0","0","0","0","","201909290den_2","Fred Brown","B/BrowFr01","1","0","0","0","0.0","DEN",,,
"10010",":stat_player_game_return","201909290den","0","0","0","0","","201909290den_3","Diontae Spencer","S/SpenDi00","1","10","0","10","10.0","DEN",,,
"10030",":stat_player_game_return","201909290den","3","25","0","69","23.0","201909290den_4","Devontae Booker","B/BookDe00","0","0","0","0","","DEN",,,
"10042",":stat_player_game_return","201909220dal","1","26","0","26","26.0","201909220dal_1","Jakeem Grant","G/GranJa00","2","1","0","1","0.5","MIA",,,
"10044",":stat_player_game_return","201910030sea","0","0","0","0","","201910030sea_1","Jojo Natson","N/NatsJo00","2","15","0","16","8.0","LAR",,,
"10047",":stat_player_game_return","201909290det","3","29","0","72","24.0","201909290det_1","De'Anthony Thomas","T/ThomDe05","2","9","0","3","1.5","KAN",,,
"10050",":stat_player_game_return","201909220dal","0","0","0","0","","201909220dal_2","Cedrick Wilson Jr.","W/WilsCe01","1","13","0","13","13.0","DAL",,,
"10051",":stat_player_game_return","201909150rai","1","19","0","19","19.0","201909150rai_1","De'Anthony Thomas","T/ThomDe05","5","10","0","28","5.6","KAN",,,
"10053",":stat_player_game_return","201910030sea","1","33","0","33","33.0","201910030sea_2","Tyler Lockett","L/LockTy00","1","0","0","0","0.0","SEA",,,
"10056",":stat_player_game_return","201909150rai","1","18","0","18","18.0","201909150rai_2","Mecole Hardman","H/HardMe00","1","20","0","20","20.0","KAN",,,
"10057",":stat_player_game_return","201909290det","2","22","0","41","20.5","201909290det_2","Byron Pringle","P/PrinBy00","0","0","0","0","","KAN",,,
"10064",":stat_player_game_return","201910140gnb","2","28","0","55","27.5","201910140gnb_1","Jamal Agnew","A/AgneJa00","0","0","0","0","","DET",,,
"10066",":stat_player_game_return","201909290det","1","29","0","29","29.0","201909290det_3","Mecole Hardman","H/HardMe00","0","0","0","0","","KAN",,,
"10067",":stat_player_game_return","201909150rai","1","30","0","30","30.0","201909150rai_3","Dwayne Harris","H/HarrDw00","1","11","0","11","11.0","OAK",,,
"10069",":stat_player_game_return","201910140gnb","5","21","0","87","17.4","201910140gnb_2","Darrius Shepherd ","S/ShepDa00","1","-9","0","-9","-9.0","GNB",,,
"10071",":stat_player_game_return","201909290det","1","14","0","14","14.0","201909290det_4","Jamal Agnew","A/AgneJa00","1","-1","0","-1","-1.0","DET",,,
"10073",":stat_player_game_return","201909150rai","0","0","0","0","","201909150rai_4","Jalen Richard","R/RichJa01","1","-1","0","-1","-1.0","OAK",,,
"10075",":stat_player_game_return","201909220phi","1","100","1","100","100.0","201909220phi_1","Jamal Agnew","A/AgneJa00","1","24","0","24","24.0","DET",,,
"10076",":stat_player_game_return","201910140gnb","1","9","0","9","9.0","201910140gnb_3","Jamaal Williams","W/WillJa06","0","0","0","0","","GNB",,,
"10079",":stat_player_game_return","201909220phi","0","0","0","0","","201909220phi_2","Darren Sproles","S/SproDa00","1","2","0","2","2.0","PHI",,,
"10080",":stat_player_game_return","201909290mia","1","12","0","12","12.0","201909290mia_1","Desmond King","K/KingDe01","1","1","0","1","1.0","LAC",,,
"10084",":stat_player_game_return","201909290det","1","15","0","15","15.0","201909290det_5","Ty Johnson","J/JohnTy02","0","0","0","0","","DET",,,
"10086",":stat_player_game_return","201909220phi","3","20","0","54","18.0","201909220phi_3","Miles Sanders","S/SandMi01","0","0","0","0","","PHI",,,
"10091",":stat_player_game_return","201909290mia","5","29","0","112","22.4","201909290mia_2","Jakeem Grant","G/GranJa00","0","0","0","0","","MIA",,,
"10096",":stat_player_game_return","201909150oti","0","0","0","0","","201909150oti_1","Chester Rogers","R/RogeCh02","4","18","0","42","10.5","IND",,,
"10102",":stat_player_game_return","201909150oti","2","21","0","38","19.0","201909150oti_2","Parris Campbell","C/CampPa00","0","0","0","0","","IND",,,
"10109",":stat_player_game_return","201909150oti","0","0","0","0","","201909150oti_3","Adoree' Jackson","J/JackAd00","2","17","0","26","13.0","TEN",,,
"10115",":stat_player_game_return","201909150oti","1","26","0","26","26.0","201909150oti_4","Darius Jennings","J/JennDa00","0","0","0","0","","TEN",,,
"11139",":stat_player_game_return","201910270chi","1","20","0","20","20.0","201910270chi_1","Desmond King","K/KingDe01","1","0","0","0","0.0","LAC",,,
"11147",":stat_player_game_return","201910270chi","0","0","0","0","","201910270chi_2","Tarik Cohen","C/CoheTa00","5","24","0","50","10.0","CHI",,,
"11156",":stat_player_game_return","201910270chi","4","30","0","109","27.3","201910270chi_3","Cordarrelle Patterson","P/PattCo00","0","0","0","0","","CHI",,,
"11184",":stat_player_game_return","201910130kan","1","20","0","20","20.0","201910130kan_1","DeAndre Carter","C/CartDe02","1","10","0","10","10.0","HOU",,,
"11191",":stat_player_game_return","201910130kan","3","24","0","64","21.3","201910130kan_2","De'Anthony Thomas","T/ThomDe05","0","0","0","0","","KAN",,,
"11203",":stat_player_game_return","201910130kan","2","22","0","41","20.5","201910130kan_3","Mecole Hardman","H/HardMe00","0","0","0","0","","KAN",,,
"11222",":stat_player_game_return","201910060car","0","0","0","0","","201910060car_1","Dede Westbrook","W/WestDe00","3","15","0","17","5.7","JAX",,,
"11223",":stat_player_game_return","201910060kan","2","30","0","48","24.0","201910060kan_1","Zach Pascal","P/PascZa00","0","0","0","0","","IND",,,
"11229",":stat_player_game_return","201910060car","2","21","0","39","19.5","201910060car_2","Ray-Ray McCloud","M/McClRa00","1","3","0","3","3.0","CAR",,,
"11230",":stat_player_game_return","201910060kan","0","0","0","0","","201910060kan_2","De'Anthony Thomas","T/ThomDe05","2","2","0","1","0.5","KAN",,,
"11232",":stat_player_game_return","201910280pit","0","0","0","0","","201910280pit_1","Preston Williams","W/WillPr01","3","19","0","35","11.7","MIA",,,
"11233",":stat_player_game_return","201910200clt","3","28","0","63","21.0","201910200clt_1","DeAndre Carter","C/CartDe02","1","3","0","3","3.0","HOU",,,
"11237",":stat_player_game_return","201910060kan","1","22","0","22","22.0","201910060kan_3","Mecole Hardman","H/HardMe00","0","0","0","0","","KAN",,,
"11239",":stat_player_game_return","201910200clt","3","25","0","66","22.0","201910200clt_2","Zach Pascal","P/PascZa00","0","0","0","0","","IND",,,
"11240",":stat_player_game_return","201910280pit","4","24","0","83","20.8","201910280pit_2","Jakeem Grant","G/GranJa00","0","0","0","0","","MIA",,,
"11247",":stat_player_game_return","201910280pit","1","25","0","25","25.0","201910280pit_3","Ryan Switzer","S/SwitRy00","1","2","0","2","2.0","PIT",,,
"11249",":stat_player_game_return","201910200clt","1","13","0","13","13.0","201910200clt_3","Chester Rogers","R/RogeCh02","0","0","0","0","","IND",,,
"11258",":stat_player_game_return","201911100chi","3","30","0","66","22.0","201911100chi_1","Jamal Agnew","A/AgneJa00","3","14","0","27","9.0","DET",,,
"11265",":stat_player_game_return","201911100chi","0","0","0","0","","201911100chi_2","Tarik Cohen","C/CoheTa00","2","8","0","9","4.5","CHI",,,
