"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","_start","_end","_type"
"25579",":stat_player_game_kick","1","1","201911240cin","201911240cin_3","Randy Bullock","B/BullRa00","0","0","0","","CIN","1","1",,,
"25581",":stat_player_game_kick","3","2","201912010cin","201912010cin_3","Randy Bullock","B/BullRa00","0","0","0","","CIN","2","2",,,
"25582",":stat_player_game_kick","3","3","201911240atl","201911240atl_3","Younghoe Koo","K/KooxYo00","0","0","0","","ATL","1","1",,,
"25584",":stat_player_game_kick","","","201912150sdg","201912150sdg_4","Ty Long","L/LongTy00","1","26","26","26.0","LAC","","",,,
"25586",":stat_player_game_kick","","","201911240cin","201911240cin_4","Kevin Huber","H/HubeKe20","9","52","418","46.4","CIN","","",,,
"25589",":stat_player_game_kick","","","201912010cin","201912010cin_4","Kevin Huber","H/HubeKe20","5","54","238","47.6","CIN","","",,,
"25590",":stat_player_game_kick","","","201911240atl","201911240atl_4","Ryan Allen","A/AlleRy01","6","54","261","43.5","ATL","","",,,
"26597",":stat_player_game_kick","2","1","202001050phi","202001050phi_1","Jason Myers","M/MyerJa00","0","0","0","","SEA","2","2",,,
"26605",":stat_player_game_kick","","","202001050phi","202001050phi_2","Michael Dickson","D/DickMi00","4","44","164","41.0","SEA","","",,,
"26609",":stat_player_game_kick","","","202001050phi","202001050phi_3","Cameron Johnston","J/JohnCa02","3","46","136","45.3","PHI","","",,,
"26617",":stat_player_game_kick","3","3","202001050phi","202001050phi_4","Jake Elliott ","E/ElliJa03","0","0","0","","PHI","","",,,
"26632",":stat_player_game_kick","2","2","201912290sea","201912290sea_1","Robbie Gould","G/gouldrob01","0","0","0","","SFO","2","2",,,
"26640",":stat_player_game_kick","","","201912290sea","201912290sea_2","Mitch Wishnowsky","W/WishMi00","2","51","94","47.0","SFO","","",,,
"26646",":stat_player_game_kick","","","201912290sea","201912290sea_3","Jason Myers","M/MyerJa00","0","0","0","","SEA","3","3",,,
"26651",":stat_player_game_kick","","","201912290sea","201912290sea_4","Michael Dickson","D/DickMi00","3","54","150","50.0","SEA","","",,,
"26690",":stat_player_game_kick","2","2","201912150cin","201912150cin_1","Nick Folk","F/FolkNi20","0","0","0","","NWE","4","4",,,
"26691",":stat_player_game_kick","2","1","202001120gnb","202001120gnb_1","Jason Myers","M/MyerJa00","0","0","0","","SEA","2","2",,,
"26696",":stat_player_game_kick","1","1","201912150was","201912150was_1","Jake Elliott ","E/ElliJa03","0","0","0","","PHI","4","4",,,
