"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","_start","_end","_type"
"5798",":stat_player_game_def_adv","2","3","2","100.0%","0","4","0","79.2","2","1.5","1","2.0","2.0","201912010pit","201912010pit_19","Vince Williams","W/WillVi01","2","2","0","0.0","2","1","33.3%","PIT",,,
"5799",":stat_player_game_def_adv","2","14","3","60.0%","2","21","0","109.2","5","4.6","7","7.0","4.2","201911250ram","201911250ram_16","Marqui Christian","C/ChriMa00","0","0","0","0.0","1","3","75.0%","LAR",,,
"5800",":stat_player_game_def_adv","0","11","2","50.0%","0","26","0","70.8","4","14.0","15","13.0","6.5","201911280dal","201911280dal_17","Chidobe Awuzie","A/AwuzCh00","0","0","0","0.0","4","0","0.0%","DAL",,,
"5801",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911280det","201911280det_22","Trey Flowers","F/FlowTr00","2","1","0","1.0","3","0","0.0%","DET",,,
"5802",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911170sfo","201911170sfo_26","DeForest Buckner","B/BuckDe00","2","1","0","1.0","2","0","0.0%","SFO",,,
"5803",":stat_player_game_def_adv","2","","0","","","","0","","0","","","","","201911170mia","201911170mia_28","Steven Parker","P/ParkSt00","0","0","0","0.0","1","0","0.0%","MIA",,,
"5804",":stat_player_game_def_adv","1","","0","0.0%","","","0","39.6","2","8.0","","","0.0","201911240buf","201911240buf_25","Micah Hyde","H/HydeMi00","0","0","0","0.0","2","1","33.3%","BUF",,,
"5805",":stat_player_game_def_adv","0","-2","1","20.0%","0","8","1","0.0","5","10.0","10","8.0","1.6","201911240nwe","201911240nwe_19","Stephon Gilmore","G/GilmSt00","0","0","0","0.0","5","0","0.0%","NWE",,,
"5806",":stat_player_game_def_adv","1","","0","","","","0","","0","","","","","201911170car","201911170car_13","Takkarist McKinley","M/McKiTa00","2","1","0","1.0","2","0","0.0%","ATL",,,
"5807",":stat_player_game_def_adv","1","62","9","81.8%","0","90","0","100.8","11","7.5","28","10.0","8.2","201911170det","201911170det_14","Rashaan Melvin","M/MelvRa00","0","0","0","0.0","9","0","0.0%","DET",,,
"5808",":stat_player_game_def_adv","1","19","1","25.0%","0","19","1","7.3","4","29.8","0","19.0","4.8","201912010pit","201912010pit_20","Joe Haden","H/HadeJo99","0","0","0","0.0","2","2","50.0%","PIT",,,
"5809",":stat_player_game_def_adv","0","25","3","75.0%","0","27","0","92.7","4","8.3","2","9.0","6.8","201911250ram","201911250ram_17","Jalen Ramsey","R/RamsJa00","0","0","0","0.0","6","0","0.0%","LAR",,,
"5810",":stat_player_game_def_adv","2","","0","","","","0","","0","","","","","201911240buf","201911240buf_26","Lorenzo Alexander","A/AlexLo99","0","0","0","0.0","1","0","0.0%","BUF",,,
"5811",":stat_player_game_def_adv","2","17","1","100.0%","0","59","0","118.7","1","17.0","42","59.0","59.0","201911240nwe","201911240nwe_20","Devin McCourty","M/McCoDe99","0","0","0","0.0","4","0","0.0%","NWE",,,
"5812",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911280det","201911280det_23","Da'Shawn Hand","H/HandDa00","0","0","0","0.0","1","1","50.0%","DET",,,
"5813",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911170sfo","201911170sfo_27","Jullian Taylor","T/TaylJu00","1","1","0","0.0","2","1","33.3%","SFO",,,
"5814",":stat_player_game_def_adv","4","","0","","","","0","","0","","","","","201911170mia","201911170mia_29","Vince Biegel","B/BiegVi00","0","0","0","0.0","5","1","16.7%","MIA",,,
"5815",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911170car","201911170car_14","Jacob Tuioti-Mariner","T/TuioJa00","1","1","0","0.0","1","0","0.0%","ATL",,,
"5816",":stat_player_game_def_adv","0","17","1","25.0%","0","23","0","51.0","4","16.3","6","23.0","5.8","201912010pit","201912010pit_21","Minkah Fitzpatrick","F/FitzMi00","0","0","0","0.0","3","1","25.0%","PIT",,,
"5817",":stat_player_game_def_adv","7","6","1","100.0%","0","8","0","100.0","1","6.0","2","8.0","8.0","201911250ram","201911250ram_18","Samson Ebukam","E/EbukSa00","3","0","1","1.5","8","0","0.0%","LAR",,,
"5818",":stat_player_game_def_adv","2","39","5","55.6%","1","103","0","133.1","9","8.2","64","20.6","11.4","201911170det","201911170det_15","Justin Coleman","C/ColeJu01","0","0","0","0.0","4","0","0.0%","DET",,,
"5819",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911280det","201911280det_24","John Atkins","A/AtkiJo01","0","0","0","0.0","2","1","33.3%","DET",,,
"5820",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911170sfo","201911170sfo_28","Dee Ford","F/FordDe00","1","0","0","1.0","2","0","0.0%","SFO",,,
"5821",":stat_player_game_def_adv","1","9","2","100.0%","0","19","0","106.2","2","4.5","10","9.5","9.5","201911280dal","201911280dal_18","Sean Lee","L/LeexSe99","0","0","0","0.0","12","2","14.3%","DAL",,,
"5822",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911170car","201911170car_15","Grady Jarrett","J/JarrGr00","1","0","1","0.0","0","2","100.0%","ATL",,,
"5823",":stat_player_game_def_adv","7","","0","0.0%","","","0","39.6","1","14.0","","","0.0","201912010pit","201912010pit_22","T.J. Watt","W/WattT.00","5","2","2","1.0","2","1","33.3%","PIT",,,
"5824",":stat_player_game_def_adv","0","62","5","45.5%","0","74","0","68.0","11","17.5","12","14.8","6.7","201911170det","201911170det_16","Darius Slay","S/SlayDa00","0","0","0","0.0","3","1","25.0%","DET",,,
"5825",":stat_player_game_def_adv","0","","0","0.0%","","","0","39.6","1","3.0","","","0.0","201911170sfo","201911170sfo_29","Tarvarius Moore","M/MoorTa00","0","0","0","0.0","0","0","","SFO",,,
"5826",":stat_player_game_def_adv","2","1","1","50.0%","0","9","0","62.5","2","12.0","8","9.0","4.5","201911280dal","201911280dal_19","Darian Thompson","T/ThomDa05","1","0","0","0.5","4","0","0.0%","DAL",,,
"5827",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911170car","201911170car_16","Allen Bailey","B/BailAl00","1","0","0","1.0","2","0","0.0%","ATL",,,
"5828",":stat_player_game_def_adv","0","-5","1","33.3%","0","4","0","42.4","3","5.7","9","4.0","1.3","201911240nwe","201911240nwe_21","Patrick Chung","C/ChunPa99","0","0","0","0.0","7","0","0.0%","NWE",,,
"5829",":stat_player_game_def_adv","12","","0","","","","0","","0","","","","","201912010pit","201912010pit_23","Bud Dupree","D/DuprAl00","3","1","0","1.5","6","1","14.3%","PIT",,,
"5830",":stat_player_game_def_adv","2","34","5","71.4%","0","57","0","95.5","7","7.4","23","11.4","8.1","201911170det","201911170det_17","Jarrad Davis","D/DaviJa01","0","0","0","0.0","8","2","20.0%","DET",,,
"5831",":stat_player_game_def_adv","0","","0","0.0%","","","0","39.6","1","4.0","","","0.0","201911170car","201911170car_17","Jermaine Grace","G/GracJe00","0","0","0","0.0","3","0","0.0%","ATL",,,
"5832",":stat_player_game_def_adv","4","18","1","50.0%","1","18","0","120.8","2","13.0","0","18.0","9.0","201911250ram","201911250ram_19","Taylor Rapp","R/RappTa00","1","0","1","0.0","10","0","0.0%","LAR",,,
