"_id","_labels","game_code","label","player","player_code","rec","rec_adot","rec_air_yds","rec_air_yds_per_rec","rec_broken_tackles","rec_broken_tackles_per_rec","rec_drop_pct","rec_drops","rec_first_down","rec_pass_rating","rec_target_int","rec_td","rec_yac","rec_yac_per_rec","rec_yds","targets","team","_start","_end","_type"
"498",":stat_player_game_rec_adv","201909220gnb","201909220gnb_1","Courtland Sutton","S/SuttCo00","5","11.0","53","10.6","0","","0.0","0","5","113.4","0","0","34","6.8","87","7","DEN",,,
"506",":stat_player_game_rec_adv","201909220gnb","201909220gnb_2","Royce Freeman","F/FreeRo00","4","-1.4","-8","-2.0","0","","0.0","0","0","79.2","0","0","18","4.5","10","5","DEN",,,
"514",":stat_player_game_rec_adv","201909300pit","201909300pit_1","Giovani Bernard","B/BernGi00","4","-2.5","-14","-3.5","0","","0.0","0","0","70.1","0","0","30","7.5","16","6","CIN",,,
"523",":stat_player_game_rec_adv","201909220gnb","201909220gnb_3","Phillip Lindsay","L/LindPh00","4","-0.2","2","0.5","0","","20.0","1","2","107.5","0","0","47","11.8","49","5","DEN",,,
"534",":stat_player_game_rec_adv","201909290htx","201909290htx_1","Christian McCaffrey","M/McCaCh01","10","-1.3","-13","-1.3","2","5.0","0.0","0","6","102.5","0","0","99","9.9","86","10","CAR",,,
"535",":stat_player_game_rec_adv","201909300pit","201909300pit_2","Joe Mixon","M/MixoJo00","4","-3.2","-15","-3.8","1","4.0","0.0","0","0","79.2","0","0","16","4.0","1","5","CIN",,,
"541",":stat_player_game_rec_adv","201909220gnb","201909220gnb_4","Noah Fant","F/FantNo00","3","6.7","20","6.7","0","","0.0","0","2","118.1","0","0","17","5.7","37","3","DEN",,,
"542",":stat_player_game_rec_adv","201909290htx","201909290htx_2","Jarius Wright","W/WrigJa02","5","7.7","43","8.6","0","","0.0","0","3","107.6","0","0","16","3.2","59","6","CAR",,,
"547",":stat_player_game_rec_adv","201909300pit","201909300pit_3","Auden Tate","T/TateAu00","4","9.5","36","9.0","0","","16.7","1","2","92.4","0","0","14","3.5","50","6","CIN",,,
"551",":stat_player_game_rec_adv","201909290htx","201909290htx_3","D.J. Moore","M/MoorD.00","3","9.2","21","7.0","0","","0.0","0","3","88.7","0","0","23","7.7","44","5","CAR",,,
"556",":stat_player_game_rec_adv","201909300pit","201909300pit_4","Tyler Boyd","B/BoydTy00","3","8.0","22","7.3","0","","0.0","0","2","66.7","0","0","11","3.7","33","6","CIN",,,
"557",":stat_player_game_rec_adv","201909150was","201909150was_1","Michael Gallup","G/GallMi00","6","13.9","53","8.8","0","","0.0","0","4","100.0","0","0","15","2.5","68","8","DAL",,,
"563",":stat_player_game_rec_adv","201909080min","201909080min_1","Austin Hooper","H/HoopAu00","9","5.0","45","5.0","0","","0.0","0","3","102.3","0","0","32","3.6","77","9","ATL",,,
"565",":stat_player_game_rec_adv","201909150was","201909150was_2","Randall Cobb","C/CobbRa00","5","3.3","2","0.4","0","","16.7","1","1","43.7","1","0","22","4.4","24","6","DAL",,,
"566",":stat_player_game_rec_adv","201909220gnb","201909220gnb_5","Jeff Heuerman","H/HeueJe00","2","3.5","7","3.5","1","2.0","0.0","0","2","108.3","0","0","13","6.5","20","2","DEN",,,
"573",":stat_player_game_rec_adv","201909150was","201909150was_3","Amari Cooper","C/CoopAm00","4","8.2","34","8.5","0","","0.0","0","2","142.9","0","1","10","2.5","44","5","DAL",,,
"574",":stat_player_game_rec_adv","201909290htx","201909290htx_4","Curtis Samuel","S/SamuCu00","3","21.6","31","10.3","0","","0.0","0","1","56.8","0","0","1","0.3","32","7","CAR",,,
"575",":stat_player_game_rec_adv","201909220gnb","201909220gnb_6","Emmanuel Sanders","S/SandEm00","2","7.8","10","5.0","0","","0.0","0","1","8.3","1","0","0","0.0","10","5","DEN",,,
"576",":stat_player_game_rec_adv","201909300pit","201909300pit_5","John Ross","R/RossJo00","3","11.3","31","10.3","0","","0.0","0","3","68.7","0","0","5","1.7","36","6","CIN",,,
"578",":stat_player_game_rec_adv","201909150was","201909150was_4","Jason Witten","W/WittJa00","4","3.8","15","3.8","0","","0.0","0","2","132.3","0","1","10","2.5","25","4","DAL",,,
"579",":stat_player_game_rec_adv","201909220gnb","201909220gnb_7","Andrew Beck","B/BeckAn01","0","-3.0","0","","0","","0.0","0","","39.6","0","0","0","","0","1","DEN",,,
"581",":stat_player_game_rec_adv","201909300pit","201909300pit_6","Tyler Eifert","E/EifeTy00","2","9.6","26","13.0","0","","20.0","1","2","57.9","0","0","1","0.5","27","5","CIN",,,
"582",":stat_player_game_rec_adv","201909080min","201909080min_2","Julio Jones","J/JoneJu02","6","9.7","20","3.3","1","6.0","0.0","0","4","52.5","1","1","11","1.8","31","11","ATL",,,
"585",":stat_player_game_rec_adv","201909150was","201909150was_5","Devin Smith","S/SmitDe04","3","18.7","56","18.7","0","","0.0","0","2","158.3","0","1","18","6.0","74","3","DAL",,,
"586",":stat_player_game_rec_adv","201909220kan","201909220kan_1","Nick Boyle","B/BoylNi00","4","6.8","18","4.5","0","","0.0","0","2","115.0","0","0","40","10.0","58","5","BAL",,,
"588",":stat_player_game_rec_adv","201909220gnb","201909220gnb_8","Marquez Valdes-Scantling","V/ValdMa00","6","11.0","91","15.2","0","","10.0","1","2","126.7","0","1","8","1.3","99","10","GNB",,,
"591",":stat_player_game_rec_adv","201909080min","201909080min_3","Mohamed Sanu","S/SanuMo00","5","6.2","27","5.4","0","","0.0","0","2","106.2","0","0","30","6.0","57","6","ATL",,,
"592",":stat_player_game_rec_adv","201909290htx","201909290htx_5","Greg Olsen","O/OlseGr00","2","7.5","2","1.0","0","","0.0","0","2","56.2","0","0","3","1.5","5","4","CAR",,,
"594",":stat_player_game_rec_adv","201909220kan","201909220kan_2","Mark Ingram","I/IngrMa01","4","0.0","0","0.0","0","","0.0","0","2","100.0","0","0","32","8.0","32","4","BAL",,,
"597",":stat_player_game_rec_adv","201909290rav","201909290rav_1","Jarvis Landry","L/LandJa00","8","6.0","43","5.4","1","8.0","0.0","0","5","79.2","1","0","124","15.5","167","10","CLE",,,
"598",":stat_player_game_rec_adv","201909080min","201909080min_4","Justin Hardy","H/HardJu00","4","5.6","23","5.8","0","","0.0","0","2","100.8","0","0","18","4.5","41","5","ATL",,,
"599",":stat_player_game_rec_adv","201909220gnb","201909220gnb_9","Davante Adams","A/AdamDa01","4","11.5","46","11.5","0","","0.0","0","3","118.7","0","0","10","2.5","56","4","GNB",,,
"600",":stat_player_game_rec_adv","201909300pit","201909300pit_7","Damion Willis","W/WillDa11","1","5.0","5","5.0","0","","0.0","0","","100.0","0","0","3","3.0","8","1","CIN",,,
"601",":stat_player_game_rec_adv","201909230was","201909230was_1","Taylor Gabriel","G/GabrTa00","6","10.0","60","10.0","0","","14.3","1","5","150.9","0","3","15","2.5","75","7","CHI",,,
"602",":stat_player_game_rec_adv","201910060cin","201910060cin_1","Larry Fitzgerald","F/FitzLa00","6","10.4","35","5.8","0","","0.0","0","3","94.8","0","0","23","3.8","58","8","ARI",,,
"604",":stat_player_game_rec_adv","201909150was","201909150was_6","Ezekiel Elliott","E/ElliEz00","2","-2.0","-4","-2.0","1","2.0","0.0","0","0","85.4","0","0","13","6.5","9","2","DAL",,,
"605",":stat_player_game_rec_adv","201909220kan","201909220kan_3","Mark Andrews","A/AndrMa00","3","7.9","12","4.0","0","","0.0","0","1","50.3","0","0","3","1.0","15","7","BAL",,,
"606",":stat_player_game_rec_adv","201909220gnb","201909220gnb_10","Jamaal Williams","W/WillJa06","2","-1.0","-2","-1.0","0","","0.0","0","1","118.7","0","0","29","14.5","27","2","GNB",,,
"607",":stat_player_game_rec_adv","201909300pit","201909300pit_8","C.J. Uzomah","U/UzomC.00","0","13.0","0","","0","","0.0","0","","0.0","1","0","0","","0","1","CIN",,,
"609",":stat_player_game_rec_adv","201909290htx","201909290htx_6","Chris Hogan","H/HogaCh00","1","6.0","6","6.0","0","","0.0","0","","91.7","0","0","0","0.0","6","1","CAR",,,
"610",":stat_player_game_rec_adv","201909230was","201909230was_2","Allen Robinson","R/RobiAl02","6","7.0","44","7.3","0","","0.0","0","4","62.8","1","0","16","2.7","60","7","CHI",,,
"611",":stat_player_game_rec_adv","201910060cin","201910060cin_2","KeeSean Johnson","J/JohnKe07","3","3.4","9","3.0","0","","14.3","1","3","50.9","0","0","13","4.3","22","7","ARI",,,
"612",":stat_player_game_rec_adv","201909220kan","201909220kan_4","Willie Snead","S/SneaWi00","3","11.2","31","10.3","0","","0.0","0","3","91.2","0","0","16","5.3","47","5","BAL",,,
"613",":stat_player_game_rec_adv","201909150was","201909150was_7","Blake Jarwin","J/JarwBl00","1","16.0","16","16.0","0","","0.0","0","1","118.7","0","0","6","6.0","22","1","DAL",,,
"614",":stat_player_game_rec_adv","201909290rav","201909290rav_2","Nick Chubb","C/ChubNi00","3","-3.0","-9","-3.0","1","3.0","25.0","1","1","83.3","0","0","27","9.0","18","4","CLE",,,
"616",":stat_player_game_rec_adv","201909290htx","201909290htx_7","DeAndre Hopkins","H/HopkDe00","5","13.4","33","6.6","0","","0.0","0","1","75.5","0","0","8","1.6","41","8","HOU",,,
"617",":stat_player_game_rec_adv","201909230was","201909230was_3","Trey Burton","B/BurtTr01","4","1.5","6","1.5","0","","0.0","0","2","87.5","0","0","14","3.5","20","4","CHI",,,
"618",":stat_player_game_rec_adv","201909080min","201909080min_5","Calvin Ridley","R/RidlCa00","4","13.2","52","13.0","1","4.0","0.0","0","4","141.7","0","1","12","3.0","64","6","ATL",,,
"619",":stat_player_game_rec_adv","201910060cin","201910060cin_3","Chase Edmonds","E/EdmoCh00","3","1.3","5","1.7","0","","0.0","0","1","83.3","0","0","13","4.3","18","4","ARI",,,
"620",":stat_player_game_rec_adv","201909220kan","201909220kan_5","Marquise Brown","B/BrowMa04","2","24.1","44","22.0","0","","0.0","0","2","49.8","0","0","5","2.5","49","9","BAL",,,
"622",":stat_player_game_rec_adv","201909290rav","201909290rav_3","Ricky Seals-Jones","S/SealRi00","3","11.0","33","11.0","0","","0.0","0","3","158.3","0","1","49","16.3","82","3","CLE",,,
"623",":stat_player_game_rec_adv","201909220gnb","201909220gnb_11","Geronimo Allison","A/AlliGe01","1","6.3","-4","-4.0","0","","33.3","1","","42.4","0","0","3","3.0","-1","3","GNB",,,
"624",":stat_player_game_rec_adv","201909300pit","201909300pit_9","James Conner","C/ConnJa00","8","-1.0","-8","-1.0","1","8.0","0.0","0","5","149.5","0","1","91","11.4","83","8","PIT",,,
"625",":stat_player_game_rec_adv","201909230was","201909230was_4","David Montgomery","M/MontDa01","3","-3.0","-9","-3.0","1","3.0","0.0","0","1","86.1","0","0","23","7.7","14","3","CHI",,,
"626",":stat_player_game_rec_adv","201910060cin","201910060cin_4","David Johnson","J/JohnDa08","3","11.8","59","19.7","0","","0.0","0","3","104.2","0","0","6","2.0","65","5","ARI",,,
"627",":stat_player_game_rec_adv","201909220kan","201909220kan_6","Gus Edwards","E/EdwaGu00","2","-4.0","-8","-4.0","0","","0.0","0","1","97.9","0","0","23","11.5","15","2","BAL",,,
"629",":stat_player_game_rec_adv","201909290rav","201909290rav_4","Odell Beckham Jr.","B/BeckOd00","2","10.0","15","7.5","0","","0.0","0","1","39.6","0","0","5","2.5","20","7","CLE",,,
"630",":stat_player_game_rec_adv","201909150was","201909150was_8","Tony Pollard","P/PollTo00","1","2.0","2","2.0","0","","0.0","0","0","79.2","0","0","1","1.0","3","1","DAL",,,
"631",":stat_player_game_rec_adv","201909300pit","201909300pit_10","Jaylen Samuels","S/SamuJa00","8","-1.0","-8","-1.0","1","8.0","0.0","0","5","96.4","0","0","65","8.1","57","8","PIT",,,
"632",":stat_player_game_rec_adv","201909220gnb","201909220gnb_12","Aaron Jones","J/JoneAa00","1","2.0","2","2.0","0","","0.0","0","0","83.3","0","0","2","2.0","4","1","GNB",,,
"633",":stat_player_game_rec_adv","201909230was","201909230was_5","Tarik Cohen","C/CoheTa00","2","4.5","-4","-2.0","0","","25.0","1","1","70.8","0","0","30","15.0","26","4","CHI",,,
"634",":stat_player_game_rec_adv","201909080min","201909080min_6","Devonta Freeman","F/FreeDe00","3","2.8","5","1.7","0","","0.0","0","0","77.1","0","0","7","2.3","12","4","ATL",,,
"635",":stat_player_game_rec_adv","201910060cin","201910060cin_5","Pharoh Cooper","C/CoopPh00","2","15.0","30","15.0","0","","0.0","0","1","118.7","0","0","3","1.5","33","2","ARI",,,
"636",":stat_player_game_rec_adv","201909220kan","201909220kan_7","Hayden Hurst","H/HursHa00","2","14.4","8","4.0","0","","0.0","0","1","47.9","0","0","6","3.0","14","5","BAL",,,
"637",":stat_player_game_rec_adv","201909290htx","201909290htx_8","Carlos Hyde","H/HydeCa00","4","-0.4","-11","-2.8","0","","0.0","0","0","39.6","1","0","17","4.3","6","5","HOU",,,
"639",":stat_player_game_rec_adv","201909150was","201909150was_9","Terry McLaurin","M/McLaTe00","5","14.9","49","9.8","1","5.0","11.1","1","4","114.1","0","1","13","2.6","62","9","WAS",,,
"640",":stat_player_game_rec_adv","201909290rav","201909290rav_5","Dontrell Hilliard","H/HillDo00","2","2.0","-1","-0.5","0","","0.0","0","1","95.1","0","0","28","14.0","27","3","CLE",,,
"641",":stat_player_game_rec_adv","201909300pit","201909300pit_11","Diontae Johnson","J/JohnDi01","6","6.2","37","6.2","0","","0.0","0","1","158.3","0","1","40","6.7","77","6","PIT",,,
"642",":stat_player_game_rec_adv","201909220gnb","201909220gnb_13","Marcedes Lewis","L/LewiMa00","1","2.5","6","6.0","0","","0.0","0","1","83.3","0","0","13","13.0","19","2","GNB",,,
"643",":stat_player_game_rec_adv","201910060cin","201910060cin_6","Maxx Williams","W/WillMa04","1","5.0","5","5.0","0","","0.0","0","","95.8","0","0","2","2.0","7","1","ARI",,,
