"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","year","_start","_end","_type"
"42954",":stat_player_game_return","201209160buf","0","0","0","0","","201209160buf_2","Steve Breaston","B/BreaSt00","1","21","0","21","21.0","KAN","2012",,,
"42955",":stat_player_game_return","201301120den","4","24","0","64","16.0","201301120den_1","Jacoby Jones","J/JoneJa03","1","14","0","14","14.0","BAL","2012",,,
"42957",":stat_player_game_return","201209160buf","0","0","0","0","","201209160buf_3","Leodis McKelvin","M/McKeLe99","3","88","1","98","32.7","BUF","2012",,,
"42958",":stat_player_game_return","201301120den","0","0","0","0","","201301120den_2","Tandon Doss","D/DossTa00","1","8","0","8","8.0","BAL","2012",,,
"42959",":stat_player_game_return","201209100rai","0","0","0","0","","201209100rai_1","Eddie Royal","R/RoyaEd00","2","14","0","18","9.0","SDG","2012",,,
"42960",":stat_player_game_return","201209160buf","1","5","0","5","5.0","201209160buf_4","Brad Smith","S/SmitBr01","0","0","0","0","","BUF","2012",,,
"42961",":stat_player_game_return","201301120den","0","0","0","0","","201301120den_3","Ed Reed","R/ReedEd00","1","0","0","0","0.0","BAL","2012",,,
"42962",":stat_player_game_return","201209100rai","3","34","0","76","25.3","201209100rai_2","Richard Goodman","G/GoodRi00","0","0","0","0","","SDG","2012",,,
"42963",":stat_player_game_return","201301120den","3","104","1","158","52.7","201301120den_4","Trindon Holliday","H/HollTr00","3","90","1","90","30.0","DEN","2012",,,
"42964",":stat_player_game_return","201209100rai","1","0","0","0","0.0","201209100rai_3","Melvin Ingram","I/IngrMe00","0","0","0","0","","SDG","2012",,,
"42965",":stat_player_game_return","201301120den","1","13","0","13","13.0","201301120den_5","Lance Ball","B/BallLa00","0","0","0","0","","DEN","2012",,,
"42966",":stat_player_game_return","201209100rai","0","0","0","0","","201209100rai_4","Phillip Adams","A/AdamPh00","1","15","0","15","15.0","OAK","2012",,,
"42967",":stat_player_game_return","201209100rai","1","6","0","6","6.0","201209100rai_5","Taiwan Jones","J/JoneTa00","0","0","0","0","","OAK","2012",,,
"43543",":stat_player_game_return","201209160jax","2","30","0","58","29.0","201209160jax_1","Trindon Holliday","H/HollTr00","6","36","0","77","12.8","HOU","2012",,,
"43550",":stat_player_game_return","201209160jax","0","0","0","0","","201209160jax_2","Mike Thomas","T/ThomMi01","3","18","0","32","10.7","JAX","2012",,,
