"_id","_labels","def_int","def_int_long","def_int_td","def_int_yds","fumbles_forced","fumbles_rec","fumbles_rec_td","fumbles_rec_yds","game_code","label","pass_defended","player","player_code","qb_hits","sacks","tackles_assists","tackles_combined","tackles_loss","tackles_solo","team","year","_start","_end","_type"
"307691",":stat_player_game_def","1","60","0","60","0","0","0","0","199909120ram","199909120ram_1","1","Ray Lewis","L/LewiRa00","","1.0","0","14","4","14","BAL","1999",,,
"307692",":stat_player_game_def","1","3","0","3","0","0","0","0","199909120clt","199909120clt_1","1","Antoine Winfield","W/WinfAn20","","0.0","0","3","0","3","BUF","1999",,,
"307693",":stat_player_game_def","0","0","0","0","0","0","0","0","199909120nor","199909120nor_1","0","Jason Peter","P/PeteJa20","","1.5","1","8","2","7","CAR","1999",,,
"307694",":stat_player_game_def","1","32","0","32","0","0","0","0","199909120phi","199909120phi_1","1","Kwamie Lassiter","L/LassKw20","","0.0","0","7","0","7","ARI","1999",,,
"307695",":stat_player_game_def","1","5","0","5","1","0","0","0","199909120oti","199909120oti_1","2","Rodney Heath","H/HeatRo20","","0.0","0","1","0","1","CIN","1999",,,
"307696",":stat_player_game_def","0","0","0","0","1","0","0","0","199909260rai","199909260rai_1","0","Clyde Simmons","S/SimmCl00","","3.0","0","4","2","4","CHI","1999",,,
"307697",":stat_player_game_def","0","0","0","0","1","0","0","0","199909120was","199909120was_1","0","Greg Ellis","E/ElliGr20","","2.0","1","6","1","5","DAL","1999",,,
"307698",":stat_player_game_def","0","0","0","0","0","0","0","0","199909190oti","199909190oti_1","0","Ronnie Powell","P/PoweRo00","","0.0","0","2","0","2","CLE","1999",,,
"307699",":stat_player_game_def","1","0","0","0","0","0","0","0","199909190kan","199909190kan_1","1","Trevor Pryce","P/PrycTr00","","0.0","1","3","0","2","DEN","1999",,,
"307700",":stat_player_game_def","1","28","0","28","0","0","0","0","199909200dal","199909200dal_1","1","Ray Buchanan","B/BuchRa00","","0.0","1","4","0","3","ATL","1999",,,
"307701",":stat_player_game_def","1","0","0","0","0","0","0","0","199909120clt","199909120clt_2","1","Emanuel Martin","M/MartEm20","","0.0","0","0","0","0","BUF","1999",,,
"307702",":stat_player_game_def","1","21","0","21","0","0","0","0","199909120ram","199909120ram_2","1","Chris McAlister","M/McAlCh00","","0.0","0","0","0","0","BAL","1999",,,
"307703",":stat_player_game_def","0","0","0","0","0","0","0","0","199909260rai","199909260rai_2","0","Shane Burton","B/BurtSh20","","1.0","0","1","1","1","CHI","1999",,,
"307704",":stat_player_game_def","0","0","0","0","0","0","0","0","199909120was","199909120was_2","0","Jeff Ogden","O/OgdeJe00","","0.0","1","2","0","1","DAL","1999",,,
"307705",":stat_player_game_def","1","8","0","8","0","0","0","0","199909120phi","199909120phi_2","3","Aeneas Williams","W/WillAe00","","0.0","0","1","0","1","ARI","1999",,,
"307706",":stat_player_game_def","0","0","0","0","0","0","0","0","199909120nor","199909120nor_2","0","Kevin Greene","G/GreeKe00","","1.5","2","5","1","3","CAR","1999",,,
"307707",":stat_player_game_def","0","0","0","0","0","0","0","0","199909120oti","199909120oti_2","0","Brian Simmons","S/SimmBr20","","1.0","2","5","1","3","CIN","1999",,,
"307708",":stat_player_game_def","0","0","0","0","0","1","0","0","199909190oti","199909190oti_2","0","Mark Campbell","C/CampMa00","","0.0","0","0","0","0","CLE","1999",,,
"307709",":stat_player_game_def","0","0","0","0","0","0","0","0","199909190kan","199909190kan_2","0","Neil Smith","S/SmitNe00","","1.0","0","2","1","2","DEN","1999",,,
"307710",":stat_player_game_def","1","0","0","0","0","0","0","0","199909200dal","199909200dal_2","1","Eugene Robinson","R/RobiEu00","","0.0","0","4","1","4","ATL","1999",,,
"307711",":stat_player_game_def","0","0","0","0","0","1","0","0","199909260rai","199909260rai_3","0","Ty Hallock","H/HallTy00","","0.0","1","3","0","2","CHI","1999",,,
"307712",":stat_player_game_def","","","","","0","0","0","0","199909120clt","199909120clt_3","0","Sam Cowart","C/CowaSa00","","0.0","2","10","0","8","BUF","1999",,,
"307713",":stat_player_game_def","0","0","0","0","1","0","0","0","199909120ram","199909120ram_3","0","DeRon Jenkins","J/JenkDe20","","1.0","0","3","0","3","BAL","1999",,,
"307714",":stat_player_game_def","0","0","0","0","0","1","0","0","199909120was","199909120was_3","0","Daryl Johnston","J/JohnDa00","","0.0","0","0","0","0","DAL","1999",,,
