"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","year","_start","_end","_type"
"16745",":stat_player_game_return","201409140cin","4","36","0","118","29.5","201409140cin_1","Devin Hester","H/HestDe99","1","7","0","7","7.0","ATL","2014",,,
"16761",":stat_player_game_return","201409140cin","0","0","0","0","","201409140cin_2","Adam Jones","J/JonePa20","3","24","0","26","8.7","CIN","2014",,,
"16781",":stat_player_game_return","201409140cin","1","29","0","29","29.0","201409140cin_3","Brandon Tate","T/TateBr00","0","0","0","0","","CIN","2014",,,
"16783",":stat_player_game_return","201409140sfo","0","0","0","0","","201409140sfo_1","Santonio Holmes","H/HolmSa00","1","1","0","1","1.0","CHI","2014",,,
"16792",":stat_player_game_return","201409140sfo","1","21","0","21","21.0","201409140sfo_2","Senorise Perry","P/PerrSe00","0","0","0","0","","CHI","2014",,,
"16800",":stat_player_game_return","201409070pit","4","28","0","85","21.3","201409070pit_1","Travis Benjamin","B/BenjTr00","1","0","0","0","0.0","CLE","2014",,,
"16806",":stat_player_game_return","201409140sfo","1","28","0","28","28.0","201409140sfo_3","Bruce Ellington","E/ElliBr00","4","19","0","24","6.0","SFO","2014",,,
"16807",":stat_player_game_return","201409070chi","0","0","0","0","","201409070chi_1","Fred Jackson","J/JackFr02","1","0","0","0","0.0","BUF","2014",,,
"16808",":stat_player_game_return","201409210sea","0","0","0","0","","201409210sea_1","Isaiah Burse","B/BursIs01","2","15","0","15","7.5","DEN","2014",,,
"16811",":stat_player_game_return","201409280htx","0","0","0","0","","201409280htx_1","Leodis McKelvin","M/McKeLe99","1","11","0","11","11.0","BUF","2014",,,
"16812",":stat_player_game_return","201409070pit","0","0","0","0","","201409070pit_2","Antonio Brown","B/BrowAn04","3","36","0","46","15.3","PIT","2014",,,
"16813",":stat_player_game_return","201409210sea","1","22","0","22","22.0","201409210sea_2","Emmanuel Sanders","S/SandEm00","0","0","0","0","","DEN","2014",,,
"16814",":stat_player_game_return","201409070rav","0","0","0","0","","201409070rav_1","Adam Jones","J/JonePa20","1","45","0","45","45.0","CIN","2014",,,
"16815",":stat_player_game_return","201409070chi","0","0","0","0","","201409070chi_2","Leodis McKelvin","M/McKeLe99","1","14","0","14","14.0","BUF","2014",,,
"16816",":stat_player_game_return","201409140sfo","1","10","0","10","10.0","201409140sfo_4","Aaron Lynch","L/LyncAa00","0","0","0","0","","SFO","2014",,,
"16820",":stat_player_game_return","201409140sfo","1","19","0","19","19.0","201409140sfo_5","Bruce Miller","M/MillBr02","0","0","0","0","","SFO","2014",,,
"16821",":stat_player_game_return","201409210sea","0","0","0","0","","201409210sea_3","Bryan Walters","W/WaltBr00","5","11","0","36","7.2","SEA","2014",,,
"16822",":stat_player_game_return","201409070chi","1","29","0","29","29.0","201409070chi_3","C.J. Spiller","S/SpilC.00","0","0","0","0","","BUF","2014",,,
"16823",":stat_player_game_return","201409280htx","3","29","0","82","27.3","201409280htx_2","C.J. Spiller","S/SpilC.00","0","0","0","0","","BUF","2014",,,
"16824",":stat_player_game_return","201409070rav","4","47","0","109","27.3","201409070rav_2","Jacoby Jones","J/JoneJa03","2","2","0","2","1.0","BAL","2014",,,
"16825",":stat_player_game_return","201409220nyj","0","0","0","0","","201409220nyj_1","Santonio Holmes","H/HolmSa00","1","11","0","11","11.0","CHI","2014",,,
