"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","year","_start","_end","_type"
"145349",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202011150gnb","202011150gnb_23","Kenny Clark","C/ClarKe01","1","1","0","0.0","5","0","0.0%","GNB","2020",,,
"145358",":stat_player_game_def_adv","0","-3","2","100.0%","0","7","0","81.2","2","-1.5","10","3.5","3.5","202011230tam","202011230tam_6","Kenny Young","Y/YounKe03","0","0","0","0.0","5","0","0.0%","LAR","2020",,,
"145366",":stat_player_game_def_adv","0","63","5","62.5%","0","76","0","93.7","8","15.6","13","15.2","9.5","202011150mia","202011150mia_1","Michael Davis","D/DaviMi03","0","0","0","0.0","5","1","16.7%","LAC","2020",,,
"145371",":stat_player_game_def_adv","0","","0","0.0%","","","0","39.6","2","35.5","","","0.0","202011150gnb","202011150gnb_24","Darnell Savage Jr.","S/SavaDa00","0","0","0","0.0","5","0","0.0%","GNB","2020",,,
"145373",":stat_player_game_def_adv","0","13","2","100.0%","0","21","0","110.4","2","6.5","8","10.5","10.5","202011150mia","202011150mia_2","Nasir Adderley","A/AddeNa00","0","0","0","0.0","8","2","20.0%","LAC","2020",,,
"145379",":stat_player_game_def_adv","0","7","1","100.0%","0","7","0","95.8","1","7.0","0","7.0","7.0","202011230tam","202011230tam_7","Nick Scott","S/ScotNi01","0","0","0","0.0","3","0","0.0%","LAR","2020",,,
"145382",":stat_player_game_def_adv","3","3","1","100.0%","1","3","0","118.7","1","3.0","0","3.0","3.0","202011150mia","202011150mia_3","Tevaughn Campbell","C/CampTe00","1","0","1","0.0","1","0","0.0%","LAC","2020",,,
"145388",":stat_player_game_def_adv","1","5","1","33.3%","0","9","0","42.4","3","1.7","4","9.0","3.0","202011230tam","202011230tam_8","Micah Kiser","K/KiseMi00","0","0","0","0.0","6","0","0.0%","LAR","2020",,,
"145393",":stat_player_game_def_adv","2","20","1","100.0%","0","23","0","118.7","1","20.0","3","23.0","23.0","202011150mia","202011150mia_4","Kyzir White","W/WhitKy00","0","0","0","0.0","6","1","14.3%","LAC","2020",,,
"145398",":stat_player_game_def_adv","6","-5","1","100.0%","0","9","0","104.2","1","-5.0","14","9.0","9.0","202011230tam","202011230tam_9","Leonard Floyd","F/FloyLe00","0","0","0","0.0","2","0","0.0%","LAR","2020",,,
"145407",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202011230tam","202011230tam_10","Morgan Fox","F/FoxxMo00","2","0","2","0.0","0","0","","LAR","2020",,,
"145415",":stat_player_game_def_adv","1","-2","1","50.0%","0","5","0","56.2","2","6.5","7","5.0","2.5","202011150mia","202011150mia_5","Denzel Perryman","P/PerrDe00","0","0","0","0.0","3","0","0.0%","LAC","2020",,,
"145419",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202011230tam","202011230tam_11","Michael Brockers","B/BrocMi00","1","0","1","0.0","6","0","0.0%","LAR","2020",,,
